用户ID,肤质,R值,F值,M值,R评分,F评分,M评分,综合得分,用户分类
U00000086,油性/混油,101,3,2100.19,2,4,5,3.8,潜力发展用户
U00000087,敏感肌,138,3,1665.0,2,4,5,3.8,潜力发展用户
U00000088,敏感肌,37,6,3822.02,4,5,5,4.7,核心价值用户
U00000089,敏感肌,30,2,1475.49,5,3,4,4.0,核心价值用户
U00000090,油性/混油,27,1,159.0,5,2,1,2.5,高价值沉睡用户
U00000091,中性,11,4,2802.0,5,4,5,4.7,核心价值用户
U00000092,油性/混油,137,2,2342.16,2,3,5,3.5,潜力发展用户
U00000093,中性,106,2,3318.0,2,3,5,3.5,潜力发展用户
U00000094,干性/混干,14,5,4424.0,5,5,5,5.0,核心价值用户
U00000095,干性/混干,25,2,461.32,5,3,3,3.6,潜力发展用户
U00000096,干性/混干,7,2,728.0,5,3,3,3.6,潜力发展用户
U00000097,油性/混油,138,2,2046.98,2,3,5,3.5,潜力发展用户
U00000098,敏感肌,85,5,3068.0,3,5,5,4.4,核心价值用户
U00000099,油性/混油,5,3,1664.24,5,4,5,4.7,核心价值用户
U00000100,敏感肌,40,9,6780.89,4,5,5,4.7,核心价值用户
U00000102,油性/混油,16,4,3367.51,5,4,5,4.7,核心价值用户
U00000103,敏感肌,21,1,578.9300000000001,5,2,3,3.3000000000000003,潜力发展用户
U00000104,油性/混油,132,3,1623.99,2,4,5,3.8,潜力发展用户
U00000105,敏感肌,132,4,1627.65,2,4,5,3.8,潜力发展用户
U00000106,油性/混油,79,1,688.0,3,2,3,2.7,高价值沉睡用户
U00000107,敏感肌,55,4,1250.4,4,4,4,4.0,核心价值用户
U00000108,油性/混油,7,3,2453.0,5,4,5,4.7,核心价值用户
U00000109,中性,11,5,4440.0,5,5,5,5.0,核心价值用户
U00000110,干性/混干,233,2,2623.0,1,3,5,3.2,潜力发展用户
U00000111,中性,55,2,588.0,4,3,3,3.3,潜力发展用户
U00000112,敏感肌,132,1,1476.0,2,2,4,2.8,高价值沉睡用户
U00000113,敏感肌,19,3,1007.0,5,4,4,4.300000000000001,核心价值用户
U00000114,油性/混油,323,1,259.0,1,2,2,1.7,低价值/流失用户
U00000115,中性,137,2,1912.0,2,3,5,3.5,潜力发展用户
U00000116,油性/混油,157,5,2057.41,2,5,5,4.1,核心价值用户
U00000117,油性/混油,163,4,4341.39,2,4,5,3.8,潜力发展用户
U00000118,干性/混干,145,2,1572.08,2,3,5,3.5,潜力发展用户
U00000119,干性/混干,80,3,2719.7799999999997,3,4,5,4.1,核心价值用户
U00000120,敏感肌,32,2,883.0,4,3,4,3.6999999999999997,潜力发展用户
U00000121,干性/混干,139,2,1324.56,2,3,4,3.1,潜力发展用户
U00000122,干性/混干,53,2,1105.0,4,3,4,3.6999999999999997,潜力发展用户
U00000123,油性/混油,9,5,2402.0,5,5,5,5.0,核心价值用户
U00000124,干性/混干,142,2,1706.0,2,3,5,3.5,潜力发展用户
U00000125,干性/混干,2,4,4002.24,5,4,5,4.7,核心价值用户
U00000126,干性/混干,287,1,918.0,1,2,4,2.5,高价值沉睡用户
U00000127,油性/混油,169,1,309.0,2,2,2,2.0,高价值沉睡用户
U00000128,油性/混油,253,1,340.88,1,2,2,1.7,低价值/流失用户
U00000129,敏感肌,49,3,2264.0,4,4,5,4.4,核心价值用户
U00000131,敏感肌,53,2,1127.0,4,3,4,3.6999999999999997,潜力发展用户
U00000132,敏感肌,20,3,3520.0,5,4,5,4.7,核心价值用户
U00000133,油性/混油,131,2,883.0799999999999,2,3,4,3.1,潜力发展用户
U00000134,敏感肌,46,3,1666.3899999999999,4,4,5,4.4,核心价值用户
U00000135,敏感肌,133,3,1893.0,2,4,5,3.8,潜力发展用户
U00000136,油性/混油,137,2,864.0,2,3,4,3.1,潜力发展用户
U00000137,敏感肌,132,3,1421.0,2,4,4,3.4,潜力发展用户
U00000138,敏感肌,149,2,695.04,2,3,3,2.7,高价值沉睡用户
U00000139,敏感肌,206,1,159.0,1,2,1,1.2999999999999998,低价值/流失用户
U00000140,敏感肌,212,1,618.0,1,2,3,2.1,高价值沉睡用户
U00000141,中性,135,3,2572.46,2,4,5,3.8,潜力发展用户
U00000143,敏感肌,110,3,1463.0,2,4,4,3.4,潜力发展用户
U00000145,干性/混干,63,7,4197.11,3,5,5,4.4,核心价值用户
U00000148,敏感肌,131,3,967.0,2,4,4,3.4,潜力发展用户
U00000149,干性/混干,176,3,2990.0,2,4,5,3.8,潜力发展用户
U00000150,油性/混油,0,4,1513.0,5,4,5,4.7,核心价值用户
U00000151,干性/混干,108,4,4879.0,2,4,5,3.8,潜力发展用户
U00000152,干性/混干,48,4,5208.0,4,4,5,4.4,核心价值用户
U00000153,敏感肌,34,4,2026.15,4,4,5,4.4,核心价值用户
U00000154,中性,16,4,1806.45,5,4,5,4.7,核心价值用户
U00000155,敏感肌,34,3,2771.0,4,4,5,4.4,核心价值用户
U00000156,油性/混油,14,5,4260.3099999999995,5,5,5,5.0,核心价值用户
U00000157,油性/混油,317,2,786.0,1,3,3,2.4000000000000004,高价值沉睡用户
U00000158,敏感肌,200,2,817.0,1,3,4,2.8,高价值沉睡用户
U00000159,油性/混油,133,4,1902.01,2,4,5,3.8,潜力发展用户
U00000160,中性,193,3,1903.51,1,4,5,3.5,潜力发展用户
U00000162,敏感肌,35,5,2420.0,4,5,5,4.7,核心价值用户
U00000163,油性/混油,54,3,3164.06,4,4,5,4.4,核心价值用户
U00000164,敏感肌,49,1,329.0,4,2,2,2.5999999999999996,高价值沉睡用户
U00000165,油性/混油,325,1,777.0,1,2,3,2.1,高价值沉睡用户
U00000167,敏感肌,225,3,1592.0,1,4,5,3.5,潜力发展用户
U00000168,干性/混干,136,3,2205.0,2,4,5,3.8,潜力发展用户
U00000169,中性,74,1,159.0,3,2,1,1.9,低价值/流失用户
U00000170,油性/混油,280,1,448.0,1,2,3,2.1,高价值沉睡用户
U00000171,油性/混油,56,3,1906.86,4,4,5,4.4,核心价值用户
U00000172,中性,225,1,183.39,1,2,1,1.2999999999999998,低价值/流失用户
U00000173,敏感肌,16,3,1194.0,5,4,4,4.300000000000001,核心价值用户
U00000174,敏感肌,290,1,1050.0,1,2,4,2.5,高价值沉睡用户
U00000176,敏感肌,83,5,2669.0,3,5,5,4.4,核心价值用户
U00000177,敏感肌,15,3,1338.96,5,4,4,4.300000000000001,核心价值用户
U00000178,敏感肌,13,5,3585.8900000000003,5,5,5,5.0,核心价值用户
U00000179,干性/混干,19,2,2136.0,5,3,5,4.4,核心价值用户
U00000180,干性/混干,86,1,936.0,3,2,4,3.1,潜力发展用户
U00000181,敏感肌,181,3,2672.0,1,4,5,3.5,潜力发展用户
U00000182,敏感肌,48,5,3630.0,4,5,5,4.7,核心价值用户
U00000183,干性/混干,130,1,89.0,2,2,1,1.6,低价值/流失用户
U00000184,中性,49,7,3518.35,4,5,5,4.7,核心价值用户
U00000185,干性/混干,66,2,707.1800000000001,3,3,3,3.0,潜力发展用户
U00000186,干性/混干,69,3,965.0,3,4,4,3.6999999999999997,潜力发展用户
U00000187,敏感肌,37,4,2569.0,4,4,5,4.4,核心价值用户
U00000188,干性/混干,134,2,1485.24,2,3,4,3.1,潜力发展用户
U00000189,敏感肌,113,4,3064.85,2,4,5,3.8,潜力发展用户
U00000190,油性/混油,128,1,1282.56,2,2,4,2.8,高价值沉睡用户
U00000192,干性/混干,7,4,3996.0,5,4,5,4.7,核心价值用户
U00000193,中性,192,2,1465.0,1,3,4,2.8,高价值沉睡用户
U00000194,中性,53,4,2201.0,4,4,5,4.4,核心价值用户
U00000195,干性/混干,3,7,7787.0,5,5,5,5.0,核心价值用户
U00000196,敏感肌,40,3,2981.0,4,4,5,4.4,核心价值用户
U00000197,敏感肌,20,3,2155.0,5,4,5,4.7,核心价值用户
U00000198,敏感肌,12,6,3154.52,5,5,5,5.0,核心价值用户
U00000199,油性/混油,177,2,787.0,2,3,3,2.7,高价值沉睡用户
U00000201,中性,38,4,1971.6599999999999,4,4,5,4.4,核心价值用户
U00000202,中性,147,3,3408.8,2,4,5,3.8,潜力发展用户
U00000203,干性/混干,132,2,1359.0,2,3,4,3.1,潜力发展用户
U00000204,中性,11,3,1745.0,5,4,5,4.7,核心价值用户
U00000205,敏感肌,129,2,937.65,2,3,4,3.1,潜力发展用户
U00000206,敏感肌,24,2,1066.0,5,3,4,4.0,核心价值用户
U00000207,油性/混油,132,3,1613.0,2,4,5,3.8,潜力发展用户
U00000208,敏感肌,199,2,876.0,1,3,4,2.8,高价值沉睡用户
U00000209,敏感肌,162,2,1873.85,2,3,5,3.5,潜力发展用户
U00000210,干性/混干,49,2,820.88,4,3,4,3.6999999999999997,潜力发展用户
U00000211,中性,39,4,2882.0,4,4,5,4.4,核心价值用户
U00000212,干性/混干,39,4,2262.0,4,4,5,4.4,核心价值用户
U00000213,敏感肌,247,4,4536.0,1,4,5,3.5,潜力发展用户
U00000214,敏感肌,79,3,3772.0,3,4,5,4.1,核心价值用户
U00000215,油性/混油,25,3,2232.0,5,4,5,4.7,核心价值用户
U00000216,敏感肌,18,3,2712.0,5,4,5,4.7,核心价值用户
U00000217,干性/混干,51,4,3187.0,4,4,5,4.4,核心价值用户
U00000218,中性,78,7,4145.27,3,5,5,4.4,核心价值用户
U00000219,敏感肌,144,2,1015.4,2,3,4,3.1,潜力发展用户
U00000220,油性/混油,51,1,159.0,4,2,1,2.1999999999999997,高价值沉睡用户
U00000221,油性/混油,18,5,4152.79,5,5,5,5.0,核心价值用户
U00000222,油性/混油,62,2,1047.0,3,3,4,3.4,潜力发展用户
U00000223,中性,37,3,1354.24,4,4,4,4.0,核心价值用户
U00000224,油性/混油,21,1,459.0,5,2,3,3.3000000000000003,潜力发展用户
U00000225,中性,220,1,378.0,1,2,2,1.7,低价值/流失用户
U00000227,敏感肌,111,2,2214.52,2,3,5,3.5,潜力发展用户
U00000228,干性/混干,33,5,3011.0,4,5,5,4.7,核心价值用户
U00000229,中性,49,2,1682.0,4,3,5,4.1,核心价值用户
U00000230,敏感肌,283,2,357.0,1,3,2,2.0,高价值沉睡用户
U00000231,中性,130,3,1365.0,2,4,4,3.4,潜力发展用户
U00000233,干性/混干,48,4,1906.44,4,4,5,4.4,核心价值用户
U00000234,中性,93,2,1516.88,2,3,5,3.5,潜力发展用户
U00000235,敏感肌,3,3,2930.0,5,4,5,4.7,核心价值用户
U00000236,敏感肌,344,1,1317.0,1,2,4,2.5,高价值沉睡用户
U00000237,敏感肌,44,2,1206.27,4,3,4,3.6999999999999997,潜力发展用户
U00000239,干性/混干,318,1,997.0,1,2,4,2.5,高价值沉睡用户
U00000240,干性/混干,131,4,4106.92,2,4,5,3.8,潜力发展用户
U00000241,敏感肌,39,3,1325.31,4,4,4,4.0,核心价值用户
U00000243,油性/混油,138,1,677.0,2,2,3,2.4000000000000004,高价值沉睡用户
U00000244,干性/混干,13,3,1486.0,5,4,4,4.300000000000001,核心价值用户
U00000245,干性/混干,135,1,1375.0,2,2,4,2.8,高价值沉睡用户
U00000246,油性/混油,131,1,418.0,2,2,3,2.4000000000000004,高价值沉睡用户
U00000247,敏感肌,46,2,886.0,4,3,4,3.6999999999999997,潜力发展用户
U00000248,干性/混干,90,3,1902.44,3,4,5,4.1,核心价值用户
U00000249,敏感肌,17,6,4659.51,5,5,5,5.0,核心价值用户
U00000250,敏感肌,168,2,2436.26,2,3,5,3.5,潜力发展用户
U00000251,中性,10,2,2095.0,5,3,5,4.4,核心价值用户
U00000252,油性/混油,133,4,946.51,2,4,4,3.4,潜力发展用户
U00000253,敏感肌,114,1,887.0,2,2,4,2.8,高价值沉睡用户
U00000254,敏感肌,45,2,1136.21,4,3,4,3.6999999999999997,潜力发展用户
U00000255,油性/混油,142,3,2063.0,2,4,5,3.8,潜力发展用户
U00000256,敏感肌,139,1,192.73,2,2,1,1.6,低价值/流失用户
U00000257,油性/混油,133,3,2412.0,2,4,5,3.8,潜力发展用户
U00000258,油性/混油,284,2,1375.32,1,3,4,2.8,高价值沉睡用户
U00000259,油性/混油,34,4,2986.72,4,4,5,4.4,核心价值用户
U00000260,油性/混油,286,1,189.0,1,2,1,1.2999999999999998,低价值/流失用户
U00000261,敏感肌,71,4,1562.0,3,4,5,4.1,核心价值用户
U00000262,油性/混油,57,3,1157.0,4,4,4,4.0,核心价值用户
U00000263,敏感肌,82,1,1612.38,3,2,5,3.5,潜力发展用户
U00000264,敏感肌,20,3,2780.0,5,4,5,4.7,核心价值用户
U00000265,敏感肌,244,1,1716.99,1,2,5,2.9,高价值沉睡用户
U00000266,油性/混油,37,2,1172.9,4,3,4,3.6999999999999997,潜力发展用户
U00000267,中性,18,4,3733.56,5,4,5,4.7,核心价值用户
U00000269,敏感肌,34,4,2760.65,4,4,5,4.4,核心价值用户
U00000270,敏感肌,48,2,1037.0,4,3,4,3.6999999999999997,潜力发展用户
U00000271,干性/混干,60,2,2448.09,4,3,5,4.1,核心价值用户
U00000272,干性/混干,11,4,2670.56,5,4,5,4.7,核心价值用户
U00000273,敏感肌,73,2,1599.13,3,3,5,3.8,潜力发展用户
U00000274,油性/混油,139,1,898.54,2,2,4,2.8,高价值沉睡用户
U00000275,中性,71,7,4207.0,3,5,5,4.4,核心价值用户
U00000276,干性/混干,161,2,844.84,2,3,4,3.1,潜力发展用户
U00000277,敏感肌,58,4,4155.0,4,4,5,4.4,核心价值用户
U00000278,中性,126,1,261.42,2,2,2,2.0,高价值沉睡用户
U00000279,油性/混油,286,2,829.96,1,3,4,2.8,高价值沉睡用户
U00000280,中性,10,6,3639.0,5,5,5,5.0,核心价值用户
U00000281,敏感肌,12,4,3865.0,5,4,5,4.7,核心价值用户
U00000282,敏感肌,36,4,2165.01,4,4,5,4.4,核心价值用户
U00000283,敏感肌,22,2,1809.77,5,3,5,4.4,核心价值用户
U00000284,敏感肌,8,4,3037.59,5,4,5,4.7,核心价值用户
U00000285,中性,17,3,2291.38,5,4,5,4.7,核心价值用户
U00000286,干性/混干,43,2,2182.0,4,3,5,4.1,核心价值用户
U00000287,敏感肌,11,6,3018.0,5,5,5,5.0,核心价值用户
U00000288,油性/混油,150,1,1190.78,2,2,4,2.8,高价值沉睡用户
U00000289,敏感肌,48,5,5158.58,4,5,5,4.7,核心价值用户
U00000290,敏感肌,15,3,2224.0,5,4,5,4.7,核心价值用户
U00000291,敏感肌,74,3,1903.92,3,4,5,4.1,核心价值用户
U00000292,干性/混干,131,3,1737.82,2,4,5,3.8,潜力发展用户
U00000293,油性/混油,106,3,3533.82,2,4,5,3.8,潜力发展用户
U00000294,油性/混油,91,5,6038.33,2,5,5,4.1,核心价值用户
U00000295,敏感肌,142,2,1126.02,2,3,4,3.1,潜力发展用户
U00000296,油性/混油,85,4,2937.0,3,4,5,4.1,核心价值用户
U00000297,敏感肌,107,2,1426.0,2,3,4,3.1,潜力发展用户
U00000298,敏感肌,205,1,721.56,1,2,3,2.1,高价值沉睡用户
U00000300,敏感肌,133,3,2046.0,2,4,5,3.8,潜力发展用户
U00000301,中性,21,3,985.0699999999999,5,4,4,4.300000000000001,核心价值用户
U00000302,干性/混干,213,5,3593.25,1,5,5,3.8,潜力发展用户
U00000303,油性/混油,258,2,1745.39,1,3,5,3.2,潜力发展用户
U00000304,敏感肌,59,2,556.0,4,3,3,3.3,潜力发展用户
U00000306,敏感肌,7,4,1782.0,5,4,5,4.7,核心价值用户
U00000307,敏感肌,110,1,1167.0,2,2,4,2.8,高价值沉睡用户
U00000308,中性,72,1,717.0,3,2,3,2.7,高价值沉睡用户
U00000309,中性,134,2,663.0,2,3,3,2.7,高价值沉睡用户
U00000310,干性/混干,10,1,1000.22,5,2,4,3.7,潜力发展用户
U00000311,干性/混干,144,2,2049.25,2,3,5,3.5,潜力发展用户
U00000312,油性/混油,36,2,1145.0,4,3,4,3.6999999999999997,潜力发展用户
U00000313,中性,29,7,4746.0,5,5,5,5.0,核心价值用户
U00000315,干性/混干,12,3,2159.0,5,4,5,4.7,核心价值用户
U00000317,中性,104,2,636.0,2,3,3,2.7,高价值沉睡用户
U00000318,干性/混干,319,1,918.0,1,2,4,2.5,高价值沉睡用户
U00000319,干性/混干,83,4,3001.35,3,4,5,4.1,核心价值用户
U00000320,敏感肌,3,3,3166.44,5,4,5,4.7,核心价值用户
U00000321,敏感肌,60,4,2501.59,4,4,5,4.4,核心价值用户
U00000322,敏感肌,18,3,945.0,5,4,4,4.300000000000001,核心价值用户
U00000323,油性/混油,177,2,1432.25,2,3,4,3.1,潜力发展用户
U00000325,干性/混干,35,4,2101.0,4,4,5,4.4,核心价值用户
U00000326,敏感肌,7,4,3805.0,5,4,5,4.7,核心价值用户
U00000327,中性,140,2,2493.76,2,3,5,3.5,潜力发展用户
U00000328,油性/混油,133,1,995.0,2,2,4,2.8,高价值沉睡用户
U00000329,油性/混油,86,3,2279.0,3,4,5,4.1,核心价值用户
U00000330,油性/混油,8,3,2547.0,5,4,5,4.7,核心价值用户
U00000331,油性/混油,289,1,159.0,1,2,1,1.2999999999999998,低价值/流失用户
U00000332,干性/混干,12,4,1689.81,5,4,5,4.7,核心价值用户
U00000335,敏感肌,44,3,2858.4,4,4,5,4.4,核心价值用户
U00000336,敏感肌,212,3,1098.93,1,4,4,3.1,潜力发展用户
U00000337,敏感肌,45,5,2478.0,4,5,5,4.7,核心价值用户
U00000338,干性/混干,168,2,929.36,2,3,4,3.1,潜力发展用户
U00000340,敏感肌,281,3,1781.0,1,4,5,3.5,潜力发展用户
U00000341,敏感肌,19,3,3042.0,5,4,5,4.7,核心价值用户
U00000342,敏感肌,127,2,1326.0,2,3,4,3.1,潜力发展用户
U00000343,油性/混油,44,2,986.0,4,3,4,3.6999999999999997,潜力发展用户
U00000344,油性/混油,36,4,2996.9700000000003,4,4,5,4.4,核心价值用户
U00000345,干性/混干,136,2,1726.0,2,3,5,3.5,潜力发展用户
U00000346,中性,277,1,189.0,1,2,1,1.2999999999999998,低价值/流失用户
U00000348,干性/混干,113,4,2630.0,2,4,5,3.8,潜力发展用户
U00000349,敏感肌,35,3,4427.3099999999995,4,4,5,4.4,核心价值用户
U00000350,油性/混油,81,5,2978.0,3,5,5,4.4,核心价值用户
U00000352,敏感肌,8,1,289.0,5,2,2,2.9000000000000004,高价值沉睡用户
U00000353,油性/混油,1,2,1406.81,5,3,4,4.0,核心价值用户
U00000354,油性/混油,39,2,1395.0,4,3,4,3.6999999999999997,潜力发展用户
U00000355,敏感肌,26,3,1192.24,5,4,4,4.300000000000001,核心价值用户
U00000356,敏感肌,94,3,5135.0,2,4,5,3.8,潜力发展用户
U00000357,中性,212,2,1618.0,1,3,5,3.2,潜力发展用户
U00000358,敏感肌,37,4,3414.67,4,4,5,4.4,核心价值用户
U00000359,敏感肌,51,2,1752.0,4,3,5,4.1,核心价值用户
U00000360,中性,48,2,1185.8,4,3,4,3.6999999999999997,潜力发展用户
U00000361,干性/混干,14,3,1812.0,5,4,5,4.7,核心价值用户
U00000362,油性/混油,129,3,785.0,2,4,3,3.0,潜力发展用户
U00000363,油性/混油,141,1,1989.5200000000002,2,2,5,3.2,潜力发展用户
U00000364,中性,17,3,626.0,5,4,3,3.9000000000000004,潜力发展用户
U00000365,敏感肌,13,3,1849.49,5,4,5,4.7,核心价值用户
U00000366,敏感肌,130,2,2902.0,2,3,5,3.5,潜力发展用户
U00000367,敏感肌,154,1,819.98,2,2,4,2.8,高价值沉睡用户
U00000368,敏感肌,50,2,1077.0,4,3,4,3.6999999999999997,潜力发展用户
U00000369,中性,77,2,2653.0,3,3,5,3.8,潜力发展用户
U00000370,中性,165,1,888.0,2,2,4,2.8,高价值沉睡用户
U00000371,油性/混油,34,2,1670.78,4,3,5,4.1,核心价值用户
U00000372,干性/混干,280,1,318.0,1,2,2,1.7,低价值/流失用户
U00000373,敏感肌,65,2,458.0,3,3,3,3.0,潜力发展用户
U00000374,敏感肌,6,3,1465.0,5,4,4,4.300000000000001,核心价值用户
U00000375,干性/混干,289,2,817.0,1,3,4,2.8,高价值沉睡用户
U00000376,油性/混油,138,3,2309.0,2,4,5,3.8,潜力发展用户
U00000377,油性/混油,51,4,3766.2,4,4,5,4.4,核心价值用户
U00000378,中性,22,6,5052.1,5,5,5,5.0,核心价值用户
U00000379,干性/混干,198,4,2347.0,1,4,5,3.5,潜力发展用户
U00000380,干性/混干,166,1,1377.0,2,2,4,2.8,高价值沉睡用户
U00000381,敏感肌,171,2,1686.0,2,3,5,3.5,潜力发展用户
U00000382,油性/混油,21,3,1412.6,5,4,4,4.300000000000001,核心价值用户
U00000383,干性/混干,27,1,289.0,5,2,2,2.9000000000000004,高价值沉睡用户
U00000384,敏感肌,48,2,710.26,4,3,3,3.3,潜力发展用户
U00000385,油性/混油,12,3,3319.0,5,4,5,4.7,核心价值用户
U00000386,干性/混干,129,6,3214.0,2,5,5,4.1,核心价值用户
U00000387,敏感肌,251,2,1755.0,1,3,5,3.2,潜力发展用户
U00000388,敏感肌,39,2,348.0,4,3,2,2.8999999999999995,高价值沉睡用户
U00000390,干性/混干,78,4,2140.51,3,4,5,4.1,核心价值用户
U00000391,油性/混油,142,2,477.0,2,3,3,2.7,高价值沉睡用户
U00000392,中性,72,1,758.0,3,2,3,2.7,高价值沉睡用户
U00000393,敏感肌,364,1,859.1,1,2,4,2.5,高价值沉睡用户
U00000394,干性/混干,213,3,2201.0,1,4,5,3.5,潜力发展用户
U00000395,油性/混油,128,2,752.0,2,3,3,2.7,高价值沉睡用户
U00000396,油性/混油,16,2,1786.0,5,3,5,4.4,核心价值用户
