用户ID,R评分,F评分,M评分,抗衰,修护,抗氧化,清爽,抗皱,保湿,cluster,cluster_name
U00000597,2,3,5,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00000612,2,3,5,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00000623,4,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00000624,5,3,4,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00000632,5,3,4,1,1,0,0,1,1,2,中价值_修护+保湿_中活跃中频高消费
U00000633,5,2,1,0,1,0,0,0,1,1,低价值_保湿+修护_低活跃低频低消费
U00000670,4,4,5,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00000677,4,2,3,0,1,0,1,0,1,1,低价值_保湿+修护_低活跃低频低消费
U00000681,4,3,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00000683,2,3,5,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00000685,1,3,4,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00000705,3,3,4,0,0,1,1,0,0,6,低价值_抗氧化+清爽_低活跃低频中消费
U00000706,4,4,4,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00000710,1,2,1,0,0,1,1,0,0,6,低价值_抗氧化+清爽_低活跃低频中消费
U00000725,1,2,3,1,1,0,0,1,1,2,中价值_修护+保湿_中活跃中频高消费
U00000728,4,3,3,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00000731,5,2,4,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00000749,1,2,1,0,0,1,1,0,0,6,低价值_抗氧化+清爽_低活跃低频中消费
U00000756,2,3,4,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00000762,5,4,5,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00000769,4,4,5,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00000773,1,2,3,0,0,1,1,0,0,6,低价值_抗氧化+清爽_低活跃低频中消费
U00000819,4,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00000821,2,2,5,0,1,0,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00000822,4,5,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00000840,5,3,4,0,0,1,1,0,0,6,低价值_抗氧化+清爽_低活跃低频中消费
U00000849,2,4,5,1,1,0,0,1,1,2,中价值_修护+保湿_中活跃中频高消费
U00000851,5,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00000855,3,3,4,0,0,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00000872,3,3,5,1,1,0,0,1,1,2,中价值_修护+保湿_中活跃中频高消费
U00000897,4,4,4,1,0,1,1,1,1,8,中价值_抗衰+抗氧化_中活跃中频高消费
U00000916,3,5,5,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00000940,2,4,5,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00000950,4,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00000960,2,2,3,1,1,0,0,1,1,2,中价值_修护+保湿_中活跃中频高消费
U00000968,2,4,4,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00000981,2,4,5,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00000987,4,5,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00001007,1,2,1,0,0,1,1,0,0,6,低价值_抗氧化+清爽_低活跃低频中消费
U00001010,1,2,2,1,0,0,0,1,0,7,低价值_抗衰+抗皱_低活跃低频中消费
U00001017,5,3,3,0,0,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00001038,5,3,4,1,0,0,1,1,1,9,中价值_抗衰+清爽_中活跃中频高消费
U00001044,3,2,3,0,0,1,1,0,0,6,低价值_抗氧化+清爽_低活跃低频中消费
U00001046,5,4,4,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00001052,4,3,4,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00001053,1,4,5,1,0,1,1,1,1,8,中价值_抗衰+抗氧化_中活跃中频高消费
U00001056,5,2,3,0,1,0,1,0,1,1,低价值_保湿+修护_低活跃低频低消费
U00001068,1,3,5,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00001069,4,5,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00001075,2,3,4,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00001092,2,4,5,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00001112,4,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00001115,4,2,2,0,1,0,0,0,1,1,低价值_保湿+修护_低活跃低频低消费
U00001123,5,4,4,0,0,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00001133,1,3,4,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00001146,4,2,3,0,0,1,1,0,0,6,低价值_抗氧化+清爽_低活跃低频中消费
U00001154,1,2,2,1,0,0,0,1,0,7,低价值_抗衰+抗皱_低活跃低频中消费
U00001165,2,3,5,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00001172,4,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00001173,1,2,1,0,0,0,1,0,1,1,低价值_保湿+修护_低活跃低频低消费
U00001220,2,2,3,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00001225,1,2,4,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00001251,2,4,5,0,0,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00001259,5,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00001261,5,5,5,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00001262,2,3,4,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00001272,2,4,5,1,0,1,1,1,1,8,中价值_抗衰+抗氧化_中活跃中频高消费
U00001277,5,4,4,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00001281,1,2,3,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00001309,5,4,5,1,1,0,1,1,1,9,中价值_抗衰+清爽_中活跃中频高消费
U00001315,4,3,4,1,1,0,0,1,1,2,中价值_修护+保湿_中活跃中频高消费
U00001327,1,2,4,0,0,1,1,0,0,6,低价值_抗氧化+清爽_低活跃低频中消费
U00001331,2,4,5,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00001356,2,4,5,1,1,0,1,1,1,9,中价值_抗衰+清爽_中活跃中频高消费
U00001359,5,3,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00001365,2,2,4,1,1,0,0,1,1,2,中价值_修护+保湿_中活跃中频高消费
U00001399,4,3,4,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00001406,5,2,4,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00001414,1,3,3,0,1,0,1,0,1,1,低价值_保湿+修护_低活跃低频低消费
U00001437,1,2,3,1,1,0,0,1,1,2,中价值_修护+保湿_中活跃中频高消费
U00001444,2,2,1,0,0,0,1,0,1,1,低价值_保湿+修护_低活跃低频低消费
U00001453,3,3,4,0,0,1,1,0,0,6,低价值_抗氧化+清爽_低活跃低频中消费
U00001462,5,5,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00001468,1,2,1,0,1,0,0,0,1,1,低价值_保湿+修护_低活跃低频低消费
U00001483,2,3,4,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00001486,5,2,3,0,0,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00001488,2,3,5,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00001490,4,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00001495,1,2,4,0,0,1,1,0,0,6,低价值_抗氧化+清爽_低活跃低频中消费
U00001503,5,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00001514,5,2,5,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00001515,1,2,4,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00001530,1,2,3,1,0,0,0,1,0,7,低价值_抗衰+抗皱_低活跃低频中消费
U00001535,4,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00001542,4,3,4,1,1,0,0,1,1,2,中价值_修护+保湿_中活跃中频高消费
U00001554,2,3,5,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00001561,3,2,1,0,1,0,0,0,1,1,低价值_保湿+修护_低活跃低频低消费
U00001574,5,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00001580,5,5,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00001585,3,4,4,1,1,0,1,1,1,9,中价值_抗衰+清爽_中活跃中频高消费
U00001591,2,3,5,1,1,0,0,1,1,2,中价值_修护+保湿_中活跃中频高消费
U00001596,1,4,4,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00001614,2,3,3,0,1,0,1,0,1,1,低价值_保湿+修护_低活跃低频低消费
U00001618,3,3,5,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00001621,4,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00001658,5,5,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00001659,5,4,4,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00001685,5,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00001719,2,2,2,0,0,1,1,0,0,6,低价值_抗氧化+清爽_低活跃低频中消费
U00001730,2,2,2,1,0,0,0,1,0,7,低价值_抗衰+抗皱_低活跃低频中消费
U00001752,4,3,3,0,0,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00001753,5,5,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00001787,5,3,4,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00001793,1,2,4,1,0,0,0,1,0,7,低价值_抗衰+抗皱_低活跃低频中消费
U00001795,4,5,5,1,1,0,1,1,1,9,中价值_抗衰+清爽_中活跃中频高消费
U00001826,2,4,5,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00001829,2,3,2,1,0,0,1,1,1,9,中价值_抗衰+清爽_中活跃中频高消费
U00001845,5,3,5,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00001854,3,4,5,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00001877,5,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00001884,4,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00001899,2,3,4,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00001901,5,5,5,1,0,1,1,1,1,8,中价值_抗衰+抗氧化_中活跃中频高消费
U00001905,5,5,5,1,0,1,1,1,1,8,中价值_抗衰+抗氧化_中活跃中频高消费
U00001910,2,2,3,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00001914,2,3,5,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00001925,5,3,5,0,1,0,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00001973,3,5,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00001979,5,4,5,1,0,1,1,1,1,8,中价值_抗衰+抗氧化_中活跃中频高消费
U00001983,1,3,5,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00001987,3,3,4,1,0,0,1,1,1,9,中价值_抗衰+清爽_中活跃中频高消费
U00002002,4,3,5,1,1,0,0,1,1,2,中价值_修护+保湿_中活跃中频高消费
U00002016,4,4,5,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00002017,5,5,5,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00002022,1,2,3,0,0,1,1,0,0,6,低价值_抗氧化+清爽_低活跃低频中消费
U00002029,5,5,5,1,0,1,1,1,1,8,中价值_抗衰+抗氧化_中活跃中频高消费
U00002033,2,4,5,1,0,0,1,1,1,9,中价值_抗衰+清爽_中活跃中频高消费
U00002034,4,4,5,1,1,0,1,1,1,9,中价值_抗衰+清爽_中活跃中频高消费
U00002042,2,2,4,0,0,1,1,0,0,6,低价值_抗氧化+清爽_低活跃低频中消费
U00002057,1,2,4,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00002058,2,3,3,1,1,0,1,1,1,9,中价值_抗衰+清爽_中活跃中频高消费
U00002065,4,3,4,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00002081,5,5,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00002093,1,4,5,1,0,1,1,1,1,8,中价值_抗衰+抗氧化_中活跃中频高消费
U00002116,5,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00002146,2,3,4,1,0,0,0,1,0,7,低价值_抗衰+抗皱_低活跃低频中消费
U00002155,4,5,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00002156,5,4,5,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00002168,5,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00002174,5,4,4,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00002185,4,5,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00002224,2,4,4,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00002242,2,4,4,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00002251,3,3,3,0,0,0,1,0,1,1,低价值_保湿+修护_低活跃低频低消费
U00002259,5,5,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00002272,5,4,5,1,0,1,1,1,1,8,中价值_抗衰+抗氧化_中活跃中频高消费
U00002286,5,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00002289,2,2,2,0,0,0,1,0,1,1,低价值_保湿+修护_低活跃低频低消费
U00002298,3,2,4,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00002299,1,2,2,1,0,0,0,1,0,7,低价值_抗衰+抗皱_低活跃低频中消费
U00002300,2,3,4,1,0,1,1,1,1,8,中价值_抗衰+抗氧化_中活跃中频高消费
U00002308,5,4,5,1,0,1,1,1,1,8,中价值_抗衰+抗氧化_中活跃中频高消费
U00002316,1,2,3,0,1,0,0,0,1,1,低价值_保湿+修护_低活跃低频低消费
U00002374,4,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00002378,2,4,4,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00002381,4,5,5,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00002389,2,2,3,0,0,1,1,0,1,6,低价值_抗氧化+清爽_低活跃低频中消费
U00002394,4,3,4,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00002398,2,3,5,1,1,0,1,1,1,9,中价值_抗衰+清爽_中活跃中频高消费
U00002423,5,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00002424,5,4,3,0,1,0,0,0,1,1,低价值_保湿+修护_低活跃低频低消费
U00002432,2,3,4,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00002438,5,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00002439,4,5,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00002446,2,2,1,0,0,0,1,0,1,1,低价值_保湿+修护_低活跃低频低消费
U00002459,3,4,3,1,0,0,1,1,1,9,中价值_抗衰+清爽_中活跃中频高消费
U00002474,4,5,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00002483,2,2,1,0,1,0,0,0,1,1,低价值_保湿+修护_低活跃低频低消费
U00002496,4,4,5,1,1,0,0,1,1,2,中价值_修护+保湿_中活跃中频高消费
U00002503,1,2,5,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00002508,2,2,3,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00002519,2,4,5,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00002520,5,5,5,1,0,1,1,1,1,8,中价值_抗衰+抗氧化_中活跃中频高消费
U00002532,4,5,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00002539,2,4,5,1,0,0,1,1,1,9,中价值_抗衰+清爽_中活跃中频高消费
U00002543,4,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00002545,4,5,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00002546,2,3,5,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00002555,3,3,4,0,1,0,0,0,1,1,低价值_保湿+修护_低活跃低频低消费
U00002564,5,5,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00002578,4,2,4,0,0,1,1,0,0,6,低价值_抗氧化+清爽_低活跃低频中消费
U00002586,4,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00002589,1,2,3,0,1,0,1,0,1,1,低价值_保湿+修护_低活跃低频低消费
U00002591,2,5,5,1,0,1,1,1,1,8,中价值_抗衰+抗氧化_中活跃中频高消费
U00002603,3,4,4,1,0,0,0,1,0,7,低价值_抗衰+抗皱_低活跃低频中消费
U00002621,3,3,5,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00002634,5,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00002637,3,4,5,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00002639,2,4,5,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00002674,1,3,5,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00002675,2,3,5,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00002680,1,4,5,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00002687,1,4,5,0,0,1,1,0,0,6,低价值_抗氧化+清爽_低活跃低频中消费
U00002690,4,4,5,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00002738,2,2,3,1,0,0,1,1,1,9,中价值_抗衰+清爽_中活跃中频高消费
U00002739,4,4,5,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00002740,4,4,3,0,0,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00002747,5,3,4,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00002749,2,4,5,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00002761,4,3,5,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00002780,1,2,4,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00002792,2,4,4,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00002795,2,3,4,1,0,0,1,1,1,9,中价值_抗衰+清爽_中活跃中频高消费
U00002797,4,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00002849,5,5,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00002863,5,5,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00002866,1,2,4,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00002881,2,2,4,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00002883,2,2,3,0,0,1,1,0,0,6,低价值_抗氧化+清爽_低活跃低频中消费
U00002888,1,2,3,1,1,0,0,1,1,2,中价值_修护+保湿_中活跃中频高消费
U00002891,4,4,5,1,0,1,1,1,1,8,中价值_抗衰+抗氧化_中活跃中频高消费
U00002897,4,2,3,0,0,1,1,0,0,6,低价值_抗氧化+清爽_低活跃低频中消费
U00002946,5,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00002948,4,3,5,1,0,1,1,1,1,8,中价值_抗衰+抗氧化_中活跃中频高消费
U00002949,5,2,4,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00002958,2,4,5,1,1,0,0,1,1,2,中价值_修护+保湿_中活跃中频高消费
U00002989,4,3,3,0,0,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00002995,1,2,3,0,0,1,1,0,1,6,低价值_抗氧化+清爽_低活跃低频中消费
U00002999,5,4,5,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00003010,4,5,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00003011,5,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00003012,5,4,4,1,0,0,1,1,1,9,中价值_抗衰+清爽_中活跃中频高消费
U00003014,4,4,4,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00003023,2,5,5,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00003037,1,3,3,1,0,0,0,1,0,7,低价值_抗衰+抗皱_低活跃低频中消费
U00003041,1,2,1,1,0,0,0,1,0,7,低价值_抗衰+抗皱_低活跃低频中消费
U00003053,2,4,5,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00003055,1,2,1,0,0,0,1,0,1,1,低价值_保湿+修护_低活跃低频低消费
U00003057,5,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00003058,5,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00003059,2,3,4,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00003067,1,2,2,0,1,0,0,0,1,1,低价值_保湿+修护_低活跃低频低消费
U00003075,5,3,3,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00003090,2,2,2,0,0,0,1,0,1,1,低价值_保湿+修护_低活跃低频低消费
U00003104,2,4,5,1,1,0,1,1,1,9,中价值_抗衰+清爽_中活跃中频高消费
