用户ID,年龄,历史购买次数,是否会员,ITE,客户类型
U00021011,33,2.0,1,0.09702428623547696,自然转化型
U00092895,33,3.0,1,0.0928003629048963,自然转化型
U00041517,43,1.0,1,0.050472541191702414,自然转化型
U00064783,31,2.0,1,0.07797946439168926,自然转化型
U00006028,19,1.0,0,0.051536468239926,自然转化型
U00082463,34,2.0,1,0.07533494078872727,自然转化型
U00027640,37,1.0,1,0.06178901970547662,自然转化型
U00036888,27,1.0,1,0.09219874739102146,自然转化型
U00063129,36,1.0,1,0.06263085072744998,自然转化型
U00045846,38,6.0,1,0.12298827194708112,敏感型
U00024629,36,0.0,1,0.0665302964621301,自然转化型
U00025758,38,3.0,0,0.11037798794937553,敏感型
U00023222,32,1.0,1,0.09309766485635365,自然转化型
U00031637,36,1.0,0,0.07487254258472276,自然转化型
U00012495,32,4.0,1,0.0965474399738076,自然转化型
U00015633,18,0.0,1,0.01336208630882052,自然转化型
U00096837,35,6.0,1,0.12520033654570323,敏感型
U00075943,26,5.0,1,0.10855084996717568,敏感型
U00025612,23,0.0,1,0.03960706110354739,自然转化型
U00063616,23,2.0,0,0.058397874322647286,自然转化型
U00034151,38,2.0,1,0.06049564497561821,自然转化型
U00074100,26,2.0,1,0.06559442133918167,自然转化型
U00074911,25,1.0,1,0.06578801801954279,自然转化型
U00074705,33,1.0,1,0.10430463279020896,敏感型
U00017296,38,3.0,1,0.11395966971067739,敏感型
U00095858,34,3.0,1,0.09283584275756651,自然转化型
U00063238,21,1.0,0,0.06355293497598186,自然转化型
U00078264,25,0.0,0,0.04558677499253033,自然转化型
U00042303,24,2.0,0,0.0714549720279525,自然转化型
U00008718,33,1.0,0,0.08187672379759026,自然转化型
U00065131,29,0.0,0,0.04998185461961527,自然转化型
U00078712,36,5.0,1,0.11515017179480991,敏感型
U00065830,18,1.0,0,0.06229375817214344,自然转化型
U00029552,32,1.0,0,0.07060219477665775,自然转化型
U00036342,30,2.0,1,0.08305673467924271,自然转化型
U00001671,30,1.0,1,0.10637050014477883,敏感型
U00068791,30,3.0,1,0.11793417940081502,敏感型
U00016981,32,2.0,0,0.07031728068796042,自然转化型
U00098317,42,6.0,1,0.06858330717035749,自然转化型
U00004254,23,1.0,1,0.07595203626101169,自然转化型
U00011805,32,1.0,1,0.09601874221239512,自然转化型
U00014712,27,2.0,0,0.0741048273115903,自然转化型
U00081962,30,0.0,0,0.059642399240802946,自然转化型
U00046190,32,2.0,0,0.07337659316515868,自然转化型
U00021493,32,0.0,1,0.038825079828545606,自然转化型
U00065374,24,4.0,1,0.12987766227286413,敏感型
U00008282,42,3.0,1,0.10669225772077512,敏感型
U00092289,36,1.0,0,0.0703579801872446,自然转化型
U00098319,40,1.0,0,0.058595141827868374,自然转化型
U00040551,31,2.0,1,0.08239857390403355,自然转化型
U00083089,27,3.0,0,0.12813205583973114,敏感型
U00092324,31,4.0,0,0.13443027860905538,敏感型
U00022065,42,4.0,1,0.12303017551084239,敏感型
U00021619,35,3.0,0,0.0736364859087531,自然转化型
U00008163,38,4.0,0,0.14796749469361437,敏感型
U00002919,32,4.0,0,0.13613211709762318,敏感型
U00005564,37,2.0,0,0.07341470812938264,自然转化型
U00048766,31,0.0,0,0.07027871397956231,自然转化型
U00061338,33,0.0,0,0.09058876847153113,自然转化型
U00043662,24,4.0,0,0.156905889685782,敏感型
U00079350,39,3.0,1,0.09153177786235883,自然转化型
U00024658,37,0.0,0,0.047974420278736635,自然转化型
U00090963,25,2.0,1,0.05971309452667903,自然转化型
U00095893,36,2.0,1,0.06159662683338882,自然转化型
U00066782,18,1.0,1,0.06249364102524668,自然转化型
U00022757,18,4.0,1,0.10870997326817855,敏感型
U00073238,38,3.0,1,0.0795216572385018,自然转化型
U00020097,24,1.0,0,0.07021632849491602,自然转化型
U00047770,40,1.0,1,0.06139151245482613,自然转化型
U00067409,27,1.0,1,0.09522682550983316,自然转化型
U00007558,31,3.0,0,0.13809832992512688,敏感型
U00088232,39,2.0,1,0.056858226492634056,自然转化型
U00035339,25,2.0,0,0.0618060595303207,自然转化型
U00066863,28,1.0,1,0.09325296342091993,自然转化型
U00058420,40,3.0,1,0.11783736478531526,敏感型
U00040960,39,5.0,1,0.11312182061080572,敏感型
U00098085,34,4.0,1,0.10060013228525505,自然转化型
U00052505,38,4.0,0,0.10593972007583546,敏感型
U00067808,43,1.0,0,0.06259103679409778,自然转化型
U00082243,41,3.0,0,0.11175364055609915,敏感型
U00089429,51,2.0,1,0.15790660495328168,敏感型
U00087388,19,5.0,0,0.13876050302095438,敏感型
U00026649,25,2.0,0,0.060753609727628416,自然转化型
U00038916,36,4.0,1,0.11722833049861497,敏感型
U00079531,27,1.0,0,0.08287209839945914,自然转化型
U00071198,22,0.0,0,0.03815017721168695,自然转化型
U00008405,42,1.0,0,0.06526930289281102,自然转化型
U00024294,26,1.0,0,0.08750493625241004,自然转化型
U00050029,35,3.0,1,0.11744688267259001,敏感型
U00036864,29,4.0,0,0.16471490745157918,敏感型
U00045844,39,3.0,1,0.11909427709153131,敏感型
U00084292,35,4.0,0,0.13959502633111465,敏感型
U00098255,36,1.0,1,0.07640825890146624,自然转化型
U00095115,18,5.0,1,0.12075499794274597,敏感型
U00070058,30,5.0,0,0.1350535770565479,敏感型
U00054902,42,3.0,0,0.1568328706465849,敏感型
U00047532,38,5.0,1,0.09557518591080616,自然转化型
U00079482,26,1.0,1,0.08685015325244691,自然转化型
U00081956,27,1.0,1,0.06983512285817006,自然转化型
U00011906,52,2.0,1,0.04682218017807058,自然转化型
U00029129,37,0.0,1,0.049035407072809956,自然转化型
U00089929,31,0.0,0,0.058980079990404694,自然转化型
U00002995,24,0.0,0,0.053285249402352686,自然转化型
U00044936,35,3.0,1,0.1003280770145698,自然转化型
U00053374,34,4.0,1,0.0929468320958638,自然转化型
U00058019,26,1.0,0,0.05559696817437271,自然转化型
U00093109,20,7.0,1,0.14594164468738297,敏感型
U00096214,36,3.0,1,0.08062792793752893,自然转化型
U00009743,20,0.0,0,0.025518327752498488,自然转化型
U00032509,25,1.0,1,0.06261488296740736,自然转化型
U00058077,46,2.0,1,0.04200348495291775,自然转化型
U00021086,31,0.0,0,0.09396346931626451,自然转化型
U00022096,44,5.0,1,0.09859887942384915,自然转化型
U00030834,28,2.0,1,0.07032586363952659,自然转化型
U00056411,29,1.0,1,0.08375765497222457,自然转化型
U00080862,29,1.0,0,0.07237904615518309,自然转化型
U00074291,41,0.0,0,0.05226415560494577,自然转化型
U00090249,18,5.0,0,0.08298680865760544,自然转化型
U00030140,39,0.0,1,0.04287497892235312,自然转化型
U00033077,24,0.0,0,0.03463315982366147,自然转化型
U00061244,18,4.0,0,0.1233047604165215,敏感型
U00024754,32,4.0,1,0.13920188197485334,敏感型
U00046791,35,0.0,1,0.0672694975290696,自然转化型
U00011170,31,5.0,1,0.1285724945808221,敏感型
U00086696,32,2.0,1,0.1240713869687318,敏感型
U00062686,28,0.0,0,0.08045610669442516,自然转化型
U00055371,29,1.0,1,0.08229210514509927,自然转化型
U00081572,31,5.0,0,0.12693262418986145,敏感型
U00003199,29,3.0,0,0.1189190962687462,敏感型
U00047065,26,0.0,1,0.05554792262227942,自然转化型
U00093012,42,3.0,1,0.10923490323545165,敏感型
U00060092,45,2.0,0,0.06739330884811182,自然转化型
U00066077,26,1.0,1,0.08803906202047027,自然转化型
U00093035,29,3.0,0,0.10885886291531599,敏感型
U00014594,32,3.0,0,0.11120089385301324,敏感型
U00098731,26,2.0,0,0.07295667603728295,自然转化型
U00022785,44,4.0,0,0.10505778764216134,敏感型
U00031124,42,0.0,0,0.07686117238621751,自然转化型
U00033603,52,1.0,1,0.09563913863857837,自然转化型
U00092622,46,2.0,1,0.06348523352338803,自然转化型
U00074292,30,2.0,1,0.07695397756024691,自然转化型
U00013556,28,2.0,1,0.06695548007154284,自然转化型
U00072287,24,3.0,0,0.13284683497481792,敏感型
U00052519,44,1.0,0,0.06076871625774041,自然转化型
U00091333,45,4.0,1,0.09419539307827263,自然转化型
U00018612,21,2.0,0,0.058621221449297906,自然转化型
U00026594,26,3.0,1,0.09956740369699674,自然转化型
U00091978,27,0.0,1,0.05722525858907773,自然转化型
U00035805,34,3.0,0,0.10196664776903885,自然转化型
U00078307,32,5.0,1,0.1175618976207789,敏感型
U00068962,30,0.0,1,0.05874754247372668,自然转化型
U00025860,23,3.0,1,0.12859464876121496,敏感型
U00019095,44,0.0,1,0.05170184026440924,自然转化型
U00068609,38,1.0,1,0.0703109493698299,自然转化型
U00095004,34,2.0,1,0.09559498598640656,自然转化型
U00072381,24,2.0,1,0.046837990001819124,自然转化型
U00089544,26,6.0,1,0.10973643888531681,敏感型
U00045114,34,1.0,0,0.08606324270985655,自然转化型
U00005838,43,1.0,0,0.06508810619988525,自然转化型
U00026278,30,3.0,0,0.13640290815527095,敏感型
U00017649,41,0.0,1,0.006679603493769837,自然转化型
U00084572,34,3.0,0,0.10005542487815183,自然转化型
U00023133,18,2.0,0,0.05100153867809268,自然转化型
U00067562,46,2.0,0,0.05808534423730835,自然转化型
U00029510,30,1.0,1,0.0965402842795855,自然转化型
U00046552,38,1.0,1,0.0732028426252942,自然转化型
U00057811,32,2.0,0,0.07562249080577696,自然转化型
U00029862,35,4.0,0,0.10226363065287702,敏感型
U00096244,35,1.0,1,0.09326914151995755,自然转化型
U00019376,32,0.0,1,0.045885266745835485,自然转化型
U00036221,26,2.0,1,0.06440844210182806,自然转化型
U00089731,22,8.0,0,0.12455671803491053,敏感型
U00046919,20,2.0,0,0.10192003881567632,自然转化型
U00058785,18,2.0,1,0.06496946811289145,自然转化型
U00010577,30,5.0,0,0.13226426094274918,敏感型
U00037003,31,3.0,1,0.1421600292212098,敏感型
U00095950,18,1.0,0,0.05543443240528187,自然转化型
U00062767,36,4.0,0,0.12644249217576647,敏感型
U00025665,18,6.0,0,0.13333913670084252,敏感型
U00075309,27,2.0,1,0.09943175944358179,自然转化型
U00093177,18,2.0,0,0.057279801331135305,自然转化型
U00015170,18,5.0,1,0.09520947348899472,自然转化型
U00075620,46,8.0,1,0.07988029982077327,自然转化型
U00021280,32,0.0,1,0.06012159328610747,自然转化型
U00060600,38,0.0,1,0.050423723555190786,自然转化型
U00066326,32,3.0,0,0.10347060817846926,敏感型
U00061132,32,0.0,0,0.06989307715503165,自然转化型
U00013616,33,2.0,1,0.08122252523846651,自然转化型
U00077960,25,0.0,1,0.03744267985283181,自然转化型
U00074942,32,4.0,0,0.1565547114481634,敏感型
U00078912,47,1.0,0,0.08020006634126581,自然转化型
U00095121,49,2.0,0,0.07638838086411123,自然转化型
U00031470,20,3.0,0,0.05492373337360096,自然转化型
U00038473,40,6.0,0,0.10996620553662445,敏感型
U00026109,25,4.0,0,0.15023124675854033,敏感型
U00046790,29,2.0,1,0.07596963640629978,自然转化型
U00034574,33,2.0,0,0.07797186499526973,自然转化型
U00079095,40,0.0,0,0.01756078197624486,自然转化型
U00016854,24,3.0,0,0.13921263706978199,敏感型
U00021521,27,6.0,1,0.13490950571086363,敏感型
U00025725,24,2.0,0,0.07604746101849463,自然转化型
U00029758,33,2.0,0,0.07363819018820358,自然转化型
U00079094,33,3.0,1,0.115939358608737,敏感型
U00097952,27,1.0,1,0.07991025584533723,自然转化型
U00031316,35,4.0,0,0.11011090912626847,敏感型
U00086223,37,2.0,0,0.07120087317364826,自然转化型
U00055639,27,4.0,0,0.1015569463988023,自然转化型
U00050620,18,4.0,1,0.12938361148472427,敏感型
U00092894,39,1.0,1,0.06334209627524245,自然转化型
U00054523,30,0.0,1,0.05830981211586783,自然转化型
U00087228,29,1.0,0,0.08179362554254746,自然转化型
U00044471,35,4.0,0,0.12732152144355352,敏感型
U00076940,33,9.0,0,0.05802137479421354,自然转化型
U00098817,33,2.0,1,0.0818974948016348,自然转化型
U00069956,20,0.0,0,0.026469093752851836,自然转化型
U00062356,30,1.0,1,0.08467777450216796,自然转化型
U00070868,42,4.0,1,0.09516842355216282,自然转化型
U00049863,23,2.0,1,0.06403821932030973,自然转化型
U00021304,27,6.0,0,0.14237651242621108,敏感型
U00074026,38,1.0,1,0.07465139569787602,自然转化型
U00090675,39,2.0,0,0.07218855344086741,自然转化型
U00091401,42,5.0,1,0.0863815959433255,自然转化型
U00018283,27,0.0,0,0.06855677547832803,自然转化型
U00057804,34,3.0,0,0.11901348370850562,敏感型
U00052136,31,1.0,1,0.08038353791685579,自然转化型
U00070090,32,1.0,0,0.0743573835192716,自然转化型
U00080000,24,2.0,0,0.10939673200102065,敏感型
U00089960,40,1.0,1,0.08016761369262893,自然转化型
U00095213,29,3.0,0,0.1252068598362603,敏感型
U00040071,31,2.0,0,0.07382439603869084,自然转化型
U00038301,33,0.0,1,0.03561529449271425,自然转化型
U00038185,30,3.0,0,0.09796905362499214,自然转化型
U00080167,22,2.0,1,0.054618569138173395,自然转化型
U00039596,25,1.0,1,0.0846119636080683,自然转化型
U00053564,30,4.0,0,0.1440935711727967,敏感型
U00026478,41,1.0,0,0.07058495425698891,自然转化型
U00009651,40,0.0,0,0.039935942753316245,自然转化型
U00025724,24,0.0,1,0.033571730668115335,自然转化型
U00008415,27,2.0,0,0.11081137052979925,敏感型
U00035535,36,1.0,0,0.06466027160859392,自然转化型
U00016872,26,1.0,1,0.06202027274011557,自然转化型
U00066501,18,3.0,1,0.050385618731648096,自然转化型
U00060859,36,2.0,1,0.09195211019980751,自然转化型
U00076057,18,2.0,0,0.05005320265944954,自然转化型
U00015750,27,2.0,1,0.08250510087955687,自然转化型
U00076293,47,2.0,0,0.05857969062798746,自然转化型
U00063227,36,2.0,1,0.05733376666497539,自然转化型
U00018796,29,1.0,1,0.0702766375885032,自然转化型
U00059611,39,0.0,1,0.029907725729492768,自然转化型
U00027982,36,2.0,0,0.06781349454856997,自然转化型
U00021182,34,2.0,1,0.07968454268815015,自然转化型
U00080866,29,3.0,0,0.11862690198172388,敏感型
U00031191,18,3.0,0,0.08078657871092193,自然转化型
U00017413,21,0.0,1,0.03572740031658728,自然转化型
U00054866,26,2.0,0,0.08847064564955612,自然转化型
U00088789,39,2.0,1,0.07045571905067191,自然转化型
U00009232,37,6.0,0,0.11236012667211431,敏感型
U00098371,32,4.0,1,0.10512174174903549,敏感型
U00024249,43,2.0,1,0.04533990308562916,自然转化型
U00029390,45,4.0,0,0.11598785311939797,敏感型
U00088140,25,1.0,0,0.0730875780889843,自然转化型
U00025130,40,4.0,1,0.11129227788281454,敏感型
U00073219,21,3.0,0,0.09016930625208153,自然转化型
U00082637,32,4.0,1,0.11805774991432083,敏感型
U00042643,43,7.0,1,0.10182024942583512,自然转化型
U00062368,39,3.0,0,0.1050825837332458,敏感型
U00035449,22,2.0,0,0.06554082240655928,自然转化型
U00078649,31,0.0,1,0.06378009793715184,自然转化型
U00010300,35,2.0,1,0.07297207013673401,自然转化型
U00056835,29,3.0,1,0.0960198603300122,自然转化型
U00053690,36,4.0,0,0.10858505692480969,敏感型
U00069262,24,1.0,0,0.06308207981290792,自然转化型
U00010457,27,3.0,0,0.10182229013021427,自然转化型
U00002796,25,5.0,0,0.1380845949995665,敏感型
U00040157,28,6.0,1,0.16210950480224912,敏感型
U00050950,24,2.0,1,0.07824073414642088,自然转化型
U00041974,30,4.0,0,0.16313000924277848,敏感型
U00000744,32,2.0,0,0.08348050635563611,自然转化型
U00067350,37,3.0,1,0.09143703906001871,自然转化型
U00079897,31,3.0,1,0.14014929119002062,敏感型
U00020405,23,1.0,1,0.07476595454317433,自然转化型
U00017119,35,6.0,1,0.13419121934524536,敏感型
U00068597,39,6.0,0,0.1117308837213758,敏感型
U00022308,20,1.0,1,0.05352118780249579,自然转化型
U00070681,30,2.0,1,0.11073753096592906,敏感型
U00068172,22,0.0,0,0.02833321537671865,自然转化型
U00024271,31,3.0,0,0.14121837759754746,敏感型
U00080752,41,0.0,0,0.06219863038351878,自然转化型
U00067154,33,1.0,1,0.08677338912093838,自然转化型
U00002510,21,1.0,0,0.06267489595225803,自然转化型
U00044970,34,2.0,1,0.07759258961025134,自然转化型
U00065762,37,3.0,0,0.1133109243199884,敏感型
U00043522,22,13.0,1,0.054471850103750774,自然转化型
U00051720,32,3.0,0,0.12622385771331546,敏感型
U00079223,40,5.0,1,0.11307687677969469,敏感型
U00012930,18,8.0,1,0.12806011305397053,敏感型
U00038156,40,0.0,0,0.01756078197624486,自然转化型
U00061936,37,1.0,0,0.06265853666046947,自然转化型
U00062450,30,6.0,1,0.14308057877577302,敏感型
U00051138,22,3.0,0,0.11064812233256982,敏感型
U00053546,36,1.0,0,0.08109571331674931,自然转化型
U00040919,32,1.0,0,0.07398993589447597,自然转化型
U00006356,30,1.0,0,0.08358879876663891,自然转化型
U00047106,18,5.0,1,0.12863423677757552,敏感型
U00003741,26,3.0,0,0.11259898790349482,敏感型
U00043118,28,1.0,1,0.0966004622947367,自然转化型
U00078499,21,4.0,1,0.14669507507512242,敏感型
U00093896,33,3.0,0,0.11501931128544013,敏感型
U00093020,34,3.0,0,0.1266172622622475,敏感型
U00015697,30,0.0,1,0.05830981211586783,自然转化型
U00074429,30,3.0,0,0.15136655000141302,敏感型
U00073048,46,0.0,0,0.09288273811864245,自然转化型
U00025200,30,2.0,0,0.0757780819353516,自然转化型
U00097411,40,0.0,1,0.035654542443373405,自然转化型
U00075822,32,3.0,0,0.13175464728227038,敏感型
U00046263,31,0.0,1,0.059970072174694466,自然转化型
U00067664,29,4.0,1,0.11033565996206834,敏感型
U00069885,31,0.0,0,0.058980079990404694,自然转化型
U00071181,35,2.0,1,0.06767451491903195,自然转化型
U00007160,28,0.0,1,0.06174636903729469,自然转化型
U00067017,21,3.0,1,0.12351777393319602,敏感型
U00075515,18,2.0,1,0.06260573931234756,自然转化型
U00092502,34,4.0,0,0.09198728242537019,自然转化型
U00068736,26,0.0,0,0.0595763124869004,自然转化型
U00039692,28,1.0,1,0.05618799852582687,自然转化型
U00093127,22,1.0,0,0.062189651273138524,自然转化型
U00026175,38,1.0,1,0.06230493385411345,自然转化型
U00012338,36,5.0,1,0.1168196008477067,敏感型
U00054050,19,3.0,1,0.09438366742558069,自然转化型
U00024416,18,1.0,0,0.05437499195437864,自然转化型
U00021768,27,2.0,1,0.058789355391297954,自然转化型
U00081437,39,4.0,1,0.10898982069669949,敏感型
U00077840,39,4.0,0,0.12460784150121462,敏感型
U00012397,46,2.0,1,0.05892184001448747,自然转化型
U00099188,19,0.0,0,0.0171153386940186,自然转化型
U00097900,36,1.0,1,0.04801585962061844,自然转化型
U00060614,25,0.0,0,0.05723660924687121,自然转化型
U00090974,31,2.0,0,0.0722249622609959,自然转化型
U00039700,34,1.0,0,0.07520738609542885,自然转化型
U00080564,33,1.0,1,0.09610229467519296,自然转化型
U00021443,32,6.0,0,0.08988635586593535,自然转化型
U00028844,35,1.0,1,0.08303142584546203,自然转化型
U00092926,39,3.0,1,0.11897077834549341,敏感型
U00065046,19,1.0,0,0.06771630615989202,自然转化型
U00080802,26,5.0,0,0.1378057741691298,敏感型
U00021204,26,3.0,0,0.09362895332566368,自然转化型
U00019499,39,2.0,1,0.057910218645815,自然转化型
U00079205,45,1.0,1,0.06313138973043031,自然转化型
U00096747,33,1.0,1,0.08882899558551646,自然转化型
U00049794,33,0.0,0,0.032496589147010174,自然转化型
U00081664,23,0.0,1,0.04083551054981885,自然转化型
U00005285,44,5.0,0,0.0503646567672017,自然转化型
U00040571,19,0.0,1,-0.008394376383754232,反作用型
U00027277,29,4.0,0,0.13333011317970062,敏感型
U00001227,32,1.0,1,0.0976744538491359,自然转化型
U00040067,36,2.0,1,0.05883914254287434,自然转化型
U00063436,26,1.0,0,0.08809838197562578,自然转化型
U00024410,32,2.0,1,0.07844001789332739,自然转化型
U00027651,26,5.0,0,0.12621715078464507,敏感型
U00067877,33,0.0,0,0.07013814434971397,自然转化型
U00019343,31,3.0,0,0.12670810277489336,敏感型
U00041892,19,2.0,1,0.06851930995960387,自然转化型
U00064479,38,1.0,0,0.06894564009423887,自然转化型
U00019464,36,3.0,1,0.11737531764208642,敏感型
U00008597,28,4.0,1,0.14292208711537208,敏感型
U00060113,24,7.0,0,0.13013717714756146,敏感型
U00023792,32,1.0,1,0.08915911419114358,自然转化型
U00058253,46,3.0,0,0.10771533745015893,敏感型
U00065633,37,3.0,0,0.11329058120462587,敏感型
U00027186,28,3.0,1,0.13348276563478695,敏感型
U00040131,22,1.0,0,0.06327699113435889,自然转化型
U00058758,18,0.0,1,0.024731062803904802,自然转化型
U00083037,21,3.0,0,0.1258922674687455,敏感型
U00056657,36,2.0,0,0.07049250897044138,自然转化型
U00047578,47,0.0,1,0.05246329901460939,自然转化型
U00038623,27,0.0,1,0.06324682333550474,自然转化型
U00089833,18,1.0,1,0.058116787814238985,自然转化型
U00091301,30,0.0,0,0.08870189276702109,自然转化型
U00075372,25,4.0,1,0.13822829183949553,敏感型
U00070122,41,2.0,0,0.0918119167593677,自然转化型
U00012976,38,0.0,0,0.020408928086479705,自然转化型
U00042713,38,2.0,1,0.06171528123878539,自然转化型
U00068109,30,3.0,1,0.1229627105491502,敏感型
U00064489,37,1.0,1,0.06740284714215683,自然转化型
U00012404,37,6.0,1,0.10816639340898898,敏感型
U00052421,34,10.0,0,0.08888810419073279,自然转化型
U00097373,38,2.0,0,0.08220179956359905,自然转化型
U00030570,58,2.0,0,0.043194236301122735,自然转化型
U00006169,30,6.0,0,0.11904298680794922,敏感型
U00034717,28,2.0,1,0.07214894743249584,自然转化型
U00029675,49,1.0,0,0.08403131968375632,自然转化型
U00055428,32,3.0,1,0.12350298784764147,敏感型
U00001279,33,0.0,1,0.062220599573739516,自然转化型
U00062858,37,3.0,1,0.09143703906001871,自然转化型
U00064154,29,1.0,1,0.0877350064079544,自然转化型
U00091947,25,1.0,1,0.08397027046795563,自然转化型
U00034713,33,3.0,1,0.08715531547641392,自然转化型
U00037928,42,4.0,1,0.09972406889044155,自然转化型
U00035502,32,3.0,0,0.1287609540231579,敏感型
U00093482,25,4.0,1,0.11143471697247243,敏感型
U00007862,33,1.0,1,0.09055692887724112,自然转化型
U00016040,31,2.0,1,0.10839166891362217,敏感型
U00028505,38,5.0,0,0.11845447796632125,敏感型
U00098157,26,3.0,0,0.11853219507571094,敏感型
U00006002,26,0.0,1,0.06004812527230491,自然转化型
U00085861,34,2.0,0,0.0707385435921736,自然转化型
U00005246,31,0.0,0,0.058980079990404694,自然转化型
U00076401,38,1.0,0,0.06562051132604055,自然转化型
U00006382,20,2.0,0,0.06168594553503606,自然转化型
U00048495,56,3.0,0,0.19193608011711716,敏感型
U00039171,32,0.0,1,0.05953220625817293,自然转化型
U00074818,43,2.0,0,0.06665127478343241,自然转化型
U00090478,25,0.0,1,0.06690567828759941,自然转化型
U00065944,40,4.0,1,0.08440204987293592,自然转化型
U00064501,24,1.0,1,0.07382810743054974,自然转化型
U00094185,18,2.0,0,0.04304148340914157,自然转化型
U00044991,30,2.0,0,0.08277614541519021,自然转化型
U00073632,36,1.0,1,0.0705590116360254,自然转化型
U00098996,40,4.0,0,0.12308804999051876,敏感型
U00061615,41,4.0,0,0.11073764711181705,敏感型
U00019501,34,5.0,1,0.1245622969627806,敏感型
U00087900,22,1.0,0,0.04814495483867498,自然转化型
U00087133,38,3.0,0,0.11468172316321579,敏感型
U00072871,41,2.0,0,0.06139777879075525,自然转化型
U00045499,33,2.0,0,0.09599988711953661,自然转化型
U00000742,21,6.0,0,0.1376311099749094,敏感型
U00083784,24,2.0,0,0.06998307534543582,自然转化型
U00031655,33,0.0,1,0.06384227575420984,自然转化型
U00063997,29,2.0,1,0.0869376538359029,自然转化型
U00002345,18,1.0,0,0.053628894349680795,自然转化型
U00018774,27,1.0,0,0.06607175786839256,自然转化型
U00087290,47,2.0,0,0.06074263086140816,自然转化型
U00036214,28,1.0,1,0.09569856708069319,自然转化型
U00006010,25,2.0,0,0.062277487594663034,自然转化型
U00073248,38,2.0,0,0.07101123326532577,自然转化型
U00067162,25,1.0,1,0.08627450108243193,自然转化型
U00000377,38,5.0,1,0.1251769557623511,敏感型
U00018992,45,2.0,1,0.05965978908879466,自然转化型
U00027966,30,0.0,1,0.05830981211586783,自然转化型
U00091717,30,1.0,1,0.07542678524268637,自然转化型
U00019432,32,3.0,0,0.12511649089437177,敏感型
U00014307,22,0.0,0,0.048471116612984505,自然转化型
U00032117,35,3.0,1,0.10632043562047377,敏感型
U00014453,31,0.0,0,0.058980079990404694,自然转化型
U00004985,36,1.0,0,0.07373063783455946,自然转化型
U00026280,30,0.0,0,0.06713625332399151,自然转化型
U00078255,28,5.0,0,0.0985020792305642,自然转化型
U00079573,31,1.0,0,0.072850435586476,自然转化型
U00032980,42,0.0,0,0.049721416220182196,自然转化型
U00048327,35,0.0,0,0.07035366625352224,自然转化型
U00001535,28,5.0,0,0.14680998885461,敏感型
U00057081,40,2.0,0,0.06028870358109362,自然转化型
U00034398,39,3.0,0,0.09617785747938884,自然转化型
U00005111,28,2.0,1,0.06756172738101815,自然转化型
