用户ID,性别,年龄,肤质,是否会员,常用省份
U00000085,女,25,干性/混干,否,浙江
U00000086,男,27,油性/混油,是,浙江
U00000087,女,39,敏感肌,否,浙江
U00000088,女,34,敏感肌,是,北京
U00000089,男,27,敏感肌,是,浙江
U00000090,男,36,油性/混油,否,江苏
U00000091,男,32,中性,否,北京
U00000092,女,39,油性/混油,是,山东
U00000093,女,26,中性,否,山东
U00000094,男,29,干性/混干,否,广东
U00000095,女,28,干性/混干,是,河南
U00000096,男,20,干性/混干,否,江苏
U00000097,女,34,油性/混油,是,江苏
U00000098,男,34,敏感肌,否,上海
U00000099,女,32,油性/混油,是,浙江
U00000100,女,30,敏感肌,是,北京
U00000101,女,20,干性/混干,是,湖北
U00000102,男,28,油性/混油,是,北京
U00000103,女,29,敏感肌,是,四川
U00000104,女,25,油性/混油,是,广东
U00000105,女,30,敏感肌,是,广东
U00000106,女,35,油性/混油,否,山东
U00000107,女,47,敏感肌,是,广东
U00000108,男,33,油性/混油,否,江苏
U00000109,女,34,中性,否,广东
U00000110,女,31,干性/混干,否,四川
U00000111,女,18,中性,否,湖南
U00000112,男,31,敏感肌,否,北京
U00000113,男,32,敏感肌,否,四川
U00000114,女,51,油性/混油,是,上海
U00000115,男,30,中性,否,浙江
U00000116,女,34,油性/混油,是,江苏
U00000117,女,31,油性/混油,是,山东
U00000118,男,22,干性/混干,是,北京
U00000119,女,41,干性/混干,是,湖北
U00000120,女,38,敏感肌,否,四川
U00000121,女,38,干性/混干,是,四川
U00000122,男,24,干性/混干,否,四川
U00000123,女,43,油性/混油,否,浙江
U00000124,女,20,干性/混干,是,山东
U00000125,女,36,干性/混干,是,广东
U00000126,女,49,干性/混干,是,上海
U00000127,女,24,油性/混油,否,北京
U00000128,女,27,油性/混油,是,江苏
U00000129,男,32,敏感肌,否,河南
U00000130,女,27,油性/混油,是,北京
U00000131,男,19,敏感肌,否,四川
U00000132,女,32,敏感肌,否,浙江
U00000133,女,23,油性/混油,是,山东
U00000134,女,35,敏感肌,是,四川
U00000135,女,24,敏感肌,否,广东
U00000136,男,44,油性/混油,否,广东
U00000137,女,25,敏感肌,否,江苏
U00000138,男,29,敏感肌,是,上海
U00000139,女,38,敏感肌,否,上海
U00000140,女,22,敏感肌,否,江苏
U00000141,女,33,中性,是,江苏
U00000142,男,42,油性/混油,否,湖南
U00000143,女,19,敏感肌,否,江苏
U00000144,男,33,油性/混油,否,四川
U00000145,女,34,干性/混干,是,山东
U00000146,女,38,敏感肌,否,广东
U00000147,男,22,干性/混干,是,上海
U00000148,女,21,敏感肌,是,浙江
U00000149,女,36,干性/混干,否,河南
U00000150,男,34,油性/混油,否,湖南
U00000151,女,34,干性/混干,否,四川
U00000152,女,34,干性/混干,否,四川
U00000153,女,26,敏感肌,是,浙江
U00000154,女,33,中性,是,江苏
U00000155,男,34,敏感肌,否,浙江
U00000156,女,26,油性/混油,是,广东
U00000157,女,46,油性/混油,否,浙江
U00000158,女,35,敏感肌,否,北京
U00000159,女,22,油性/混油,是,浙江
U00000160,女,37,中性,是,浙江
U00000161,男,24,敏感肌,否,广东
U00000162,男,38,敏感肌,否,上海
U00000163,女,41,油性/混油,是,广东
U00000164,男,25,敏感肌,否,江苏
U00000165,女,39,油性/混油,否,广东
U00000166,女,35,敏感肌,是,广东
U00000167,男,38,敏感肌,否,浙江
U00000168,女,47,干性/混干,否,河南
U00000169,男,30,中性,否,上海
U00000170,男,25,油性/混油,否,浙江
U00000171,女,24,油性/混油,是,广东
U00000172,女,25,中性,是,浙江
U00000173,女,31,敏感肌,否,北京
U00000174,女,34,敏感肌,否,上海
U00000175,女,34,干性/混干,否,北京
U00000176,女,38,敏感肌,否,广东
U00000177,女,32,敏感肌,是,上海
U00000178,女,43,敏感肌,是,山东
U00000179,男,29,干性/混干,否,广东
U00000180,女,53,干性/混干,是,浙江
U00000181,女,37,敏感肌,否,上海
U00000182,男,25,敏感肌,否,浙江
U00000183,女,23,干性/混干,否,上海
U00000184,男,35,中性,是,上海
U00000185,女,30,干性/混干,是,江苏
U00000186,女,37,干性/混干,否,山东
U00000187,女,35,敏感肌,否,北京
U00000188,女,31,干性/混干,是,湖南
U00000189,女,25,敏感肌,是,山东
U00000190,女,19,油性/混油,是,江苏
U00000191,男,28,敏感肌,否,浙江
U00000192,女,38,干性/混干,否,山东
U00000193,女,33,中性,否,浙江
U00000194,女,22,中性,否,广东
U00000195,男,33,干性/混干,否,广东
U00000196,男,35,敏感肌,否,北京
U00000197,女,24,敏感肌,否,浙江
U00000198,女,33,敏感肌,是,北京
U00000199,男,32,油性/混油,否,四川
U00000200,女,22,中性,否,河南
U00000201,女,34,中性,是,湖南
U00000202,女,36,中性,是,江苏
U00000203,女,40,干性/混干,是,江苏
U00000204,女,40,中性,否,浙江
U00000205,男,20,敏感肌,是,山东
U00000206,男,24,敏感肌,否,河南
U00000207,男,36,油性/混油,否,北京
U00000208,女,36,敏感肌,否,江苏
U00000209,女,36,敏感肌,是,江苏
U00000210,女,62,干性/混干,是,湖南
U00000211,女,36,中性,否,河南
U00000212,男,41,干性/混干,否,江苏
U00000213,男,39,敏感肌,否,广东
U00000214,女,37,敏感肌,否,湖南
U00000215,男,29,油性/混油,否,上海
U00000216,男,38,敏感肌,否,湖北
U00000217,女,25,干性/混干,否,江苏
U00000218,女,30,中性,是,四川
U00000219,女,28,敏感肌,是,上海
U00000220,女,32,油性/混油,否,北京
U00000221,女,50,油性/混油,是,四川
U00000222,男,18,油性/混油,否,江苏
U00000223,女,37,中性,是,江苏
U00000224,女,19,油性/混油,否,江苏
U00000225,女,28,中性,是,上海
U00000226,男,40,敏感肌,否,山东
U00000227,女,32,敏感肌,是,四川
U00000228,女,23,干性/混干,否,湖北
U00000229,女,26,中性,否,江苏
U00000230,女,37,敏感肌,否,山东
U00000231,女,26,中性,否,湖北
U00000232,女,33,干性/混干,是,上海
U00000233,男,32,干性/混干,是,四川
U00000234,女,26,中性,是,湖南
U00000235,女,49,敏感肌,否,浙江
U00000236,男,37,敏感肌,否,四川
U00000237,女,18,敏感肌,是,广东
U00000238,男,33,敏感肌,否,湖南
U00000239,男,26,干性/混干,否,四川
U00000240,女,38,干性/混干,是,山东
U00000241,女,25,敏感肌,是,湖北
U00000242,女,31,油性/混油,是,河南
U00000243,女,36,油性/混油,否,广东
U00000244,男,38,干性/混干,否,江苏
U00000245,女,22,干性/混干,否,北京
U00000246,女,29,油性/混油,否,北京
U00000247,女,28,敏感肌,否,江苏
U00000248,男,26,干性/混干,是,广东
U00000249,女,46,敏感肌,是,广东
U00000250,女,35,敏感肌,是,河南
U00000251,女,21,中性,否,湖南
U00000252,女,39,油性/混油,是,广东
U00000253,男,48,敏感肌,否,上海
U00000254,女,40,敏感肌,是,浙江
U00000255,女,19,油性/混油,否,四川
U00000256,女,28,敏感肌,是,江苏
U00000257,女,42,油性/混油,否,河南
U00000258,女,26,油性/混油,是,浙江
U00000259,女,35,油性/混油,是,四川
U00000260,女,38,油性/混油,是,广东
U00000261,男,24,敏感肌,否,北京
U00000262,男,31,油性/混油,否,北京
U00000263,男,18,敏感肌,是,河南
U00000264,女,23,敏感肌,否,广东
U00000265,女,29,敏感肌,是,北京
U00000266,男,22,油性/混油,是,上海
U00000267,女,45,中性,是,北京
U00000268,女,20,中性,否,北京
U00000269,女,28,敏感肌,是,河南
U00000270,女,33,敏感肌,否,浙江
U00000271,女,43,干性/混干,是,北京
U00000272,女,20,干性/混干,是,山东
U00000273,女,41,敏感肌,是,广东
U00000274,男,32,油性/混油,是,山东
U00000275,男,24,中性,否,上海
U00000276,女,35,干性/混干,是,山东
U00000277,男,33,敏感肌,否,湖南
U00000278,女,27,中性,是,浙江
U00000279,女,32,油性/混油,是,河南
U00000280,女,28,中性,否,四川
U00000281,男,32,敏感肌,否,上海
U00000282,女,37,敏感肌,是,河南
U00000283,女,44,敏感肌,是,浙江
U00000284,女,22,敏感肌,是,上海
U00000285,女,49,中性,是,广东
U00000286,男,18,干性/混干,是,江苏
U00000287,女,30,敏感肌,否,上海
U00000288,女,36,油性/混油,是,上海
U00000289,女,34,敏感肌,是,北京
U00000290,女,27,敏感肌,是,广东
U00000291,女,30,敏感肌,是,北京
U00000292,女,28,干性/混干,是,上海
U00000293,女,27,油性/混油,是,广东
U00000294,女,38,油性/混油,是,四川
U00000295,女,34,敏感肌,是,北京
U00000296,男,26,油性/混油,否,河南
U00000297,女,39,敏感肌,是,河南
U00000298,女,34,敏感肌,是,江苏
U00000299,女,38,干性/混干,是,四川
U00000300,女,37,敏感肌,否,广东
U00000301,男,25,中性,是,北京
U00000302,女,27,干性/混干,是,江苏
U00000303,女,37,油性/混油,是,北京
U00000304,男,36,敏感肌,否,河南
U00000305,男,31,油性/混油,是,浙江
U00000306,女,32,敏感肌,否,浙江
U00000307,男,42,敏感肌,否,四川
U00000308,女,27,中性,否,上海
U00000309,女,36,中性,否,广东
U00000310,女,30,干性/混干,是,浙江
U00000311,女,30,干性/混干,是,北京
U00000312,女,40,油性/混油,否,河南
U00000313,男,38,中性,否,北京
U00000314,女,38,敏感肌,否,北京
U00000315,男,42,干性/混干,否,北京
U00000316,女,32,油性/混油,是,湖北
U00000317,女,37,中性,否,浙江
U00000318,女,29,干性/混干,是,北京
U00000319,女,34,干性/混干,是,江苏
U00000320,女,30,敏感肌,是,上海
U00000321,女,32,敏感肌,是,浙江
U00000322,男,36,敏感肌,否,河南
U00000323,女,25,油性/混油,是,江苏
U00000324,男,48,干性/混干,否,上海
U00000325,男,23,干性/混干,否,四川
U00000326,男,22,敏感肌,否,山东
U00000327,女,41,中性,是,江苏
U00000328,女,38,油性/混油,是,浙江
U00000329,男,36,油性/混油,否,广东
U00000330,女,37,油性/混油,否,四川
U00000331,男,31,油性/混油,否,江苏
U00000332,男,24,干性/混干,是,广东
U00000333,男,32,敏感肌,否,广东
U00000334,女,26,敏感肌,是,浙江
U00000335,女,39,敏感肌,是,北京
U00000336,女,30,敏感肌,是,北京
U00000337,男,25,敏感肌,否,湖南
U00000338,女,29,干性/混干,是,北京
U00000339,男,35,敏感肌,否,广东
U00000340,女,27,敏感肌,否,北京
U00000341,女,25,敏感肌,否,浙江
U00000342,男,33,敏感肌,否,广东
U00000343,女,33,油性/混油,否,北京
U00000344,女,27,油性/混油,是,北京
U00000345,女,28,干性/混干,否,广东
U00000346,男,33,中性,否,四川
U00000347,女,20,敏感肌,是,山东
U00000348,女,20,干性/混干,否,广东
U00000349,女,26,敏感肌,是,北京
U00000350,男,30,油性/混油,否,浙江
U00000351,女,34,干性/混干,是,四川
U00000352,女,43,敏感肌,是,上海
U00000353,女,38,油性/混油,是,广东
U00000354,女,30,油性/混油,否,江苏
U00000355,女,31,敏感肌,是,广东
U00000356,女,23,敏感肌,否,北京
U00000357,女,31,中性,是,湖南
U00000358,女,29,敏感肌,是,江苏
U00000359,男,34,敏感肌,否,山东
U00000360,女,25,中性,是,四川
U00000361,女,36,干性/混干,否,山东
U00000362,女,44,油性/混油,否,四川
U00000363,女,31,油性/混油,是,浙江
U00000364,女,35,中性,否,湖南
U00000365,女,37,敏感肌,是,浙江
U00000366,女,28,敏感肌,否,江苏
U00000367,女,33,敏感肌,是,四川
U00000368,男,32,敏感肌,否,北京
U00000369,女,32,中性,否,四川
U00000370,男,25,中性,是,河南
U00000371,女,32,油性/混油,是,山东
U00000372,女,35,干性/混干,否,山东
U00000373,女,43,敏感肌,是,江苏
U00000374,男,39,敏感肌,否,湖南
U00000375,女,49,干性/混干,否,四川
U00000376,女,25,油性/混油,否,上海
U00000377,男,38,油性/混油,是,四川
U00000378,女,33,中性,是,上海
U00000379,女,49,干性/混干,否,四川
U00000380,女,25,干性/混干,是,上海
U00000381,女,25,敏感肌,是,北京
U00000382,女,27,油性/混油,是,浙江
U00000383,女,18,干性/混干,否,湖北
U00000384,女,27,敏感肌,是,北京
U00000385,男,25,油性/混油,否,山东
U00000386,男,33,干性/混干,否,广东
U00000387,女,34,敏感肌,否,山东
U00000388,男,47,敏感肌,否,北京
U00000389,女,39,油性/混油,是,四川
U00000390,女,27,干性/混干,是,四川
U00000391,女,24,油性/混油,否,浙江
U00000392,男,35,中性,否,四川
U00000393,男,21,敏感肌,是,上海
U00000394,女,46,干性/混干,否,河南
U00000395,男,41,油性/混油,否,湖南
U00000396,女,28,油性/混油,否,广东
U00000397,女,18,干性/混干,是,山东
U00000398,女,42,敏感肌,否,河南
U00000399,女,31,中性,否,广东
U00000400,女,41,中性,是,广东
U00000401,男,19,敏感肌,是,山东
U00000402,女,27,中性,否,河南
U00000403,女,32,中性,是,上海
U00000404,女,32,干性/混干,否,上海
U00000405,女,28,干性/混干,否,湖南
U00000406,女,36,敏感肌,否,浙江
U00000407,女,23,干性/混干,是,北京
U00000408,女,30,干性/混干,否,山东
U00000409,男,32,敏感肌,否,广东
U00000410,女,36,干性/混干,是,北京
U00000411,女,37,油性/混油,是,浙江
U00000412,女,23,油性/混油,否,河南
U00000413,女,19,中性,是,浙江
U00000414,男,42,中性,否,北京
U00000415,女,34,敏感肌,是,北京
U00000416,男,26,干性/混干,是,广东
U00000417,女,44,敏感肌,否,北京
U00000418,女,32,干性/混干,否,河南
U00000419,男,41,干性/混干,否,江苏
U00000420,女,32,中性,是,广东
U00000421,女,48,油性/混油,否,湖南
U00000422,女,46,敏感肌,是,江苏
U00000423,男,30,敏感肌,否,四川
U00000424,女,39,中性,是,广东
U00000425,女,37,干性/混干,是,北京
U00000426,女,42,干性/混干,是,上海
U00000427,女,24,敏感肌,否,浙江
U00000428,女,37,中性,否,山东
U00000429,女,40,干性/混干,否,山东
U00000430,男,18,敏感肌,否,山东
U00000431,女,22,干性/混干,是,湖南
U00000432,男,18,中性,否,山东
U00000433,女,29,中性,是,上海
U00000434,男,37,敏感肌,是,广东
U00000435,男,44,油性/混油,是,浙江
U00000436,女,32,干性/混干,否,四川
U00000437,男,45,敏感肌,否,广东
U00000438,女,20,干性/混干,是,山东
U00000439,女,18,油性/混油,是,湖北
U00000440,女,31,敏感肌,是,山东
U00000441,女,35,中性,否,浙江
U00000442,女,31,油性/混油,是,湖南
U00000443,女,18,油性/混油,是,山东
U00000444,女,31,敏感肌,是,四川
U00000445,女,21,敏感肌,是,江苏
U00000446,男,37,敏感肌,否,四川
U00000447,女,34,敏感肌,是,江苏
U00000448,女,24,干性/混干,是,浙江
U00000449,女,27,敏感肌,否,广东
U00000450,女,23,油性/混油,否,山东
U00000451,女,31,油性/混油,否,江苏
U00000452,男,39,敏感肌,是,广东
U00000453,女,24,干性/混干,否,湖北
U00000454,男,36,油性/混油,否,湖南
U00000455,女,27,敏感肌,否,广东
U00000456,女,25,敏感肌,是,湖北
U00000457,男,31,敏感肌,是,浙江
U00000458,男,23,干性/混干,否,北京
U00000459,男,27,敏感肌,否,河南
U00000460,女,22,油性/混油,否,湖南
U00000461,女,47,中性,否,北京
U00000462,男,32,干性/混干,否,浙江
U00000463,女,26,干性/混干,是,浙江
U00000464,女,33,敏感肌,否,上海
U00000465,男,31,敏感肌,是,湖北
U00000466,男,30,油性/混油,否,山东
U00000467,女,36,干性/混干,是,浙江
U00000468,女,38,敏感肌,是,湖南
U00000469,女,27,油性/混油,否,上海
U00000470,女,27,油性/混油,是,浙江
U00000471,女,29,敏感肌,是,山东
U00000472,女,18,敏感肌,是,浙江
U00000473,女,19,油性/混油,是,广东
U00000474,男,42,干性/混干,否,北京
U00000475,女,45,敏感肌,是,浙江
U00000476,女,30,敏感肌,否,广东
U00000477,女,36,油性/混油,否,上海
U00000478,女,34,中性,是,上海
U00000479,女,56,中性,是,广东
U00000480,女,40,油性/混油,是,北京
U00000481,男,30,中性,否,北京
U00000482,女,24,敏感肌,否,山东
U00000483,女,19,敏感肌,否,上海
U00000484,女,33,油性/混油,是,湖南
U00000485,男,25,敏感肌,是,广东
U00000486,女,20,敏感肌,否,湖南
U00000487,女,26,敏感肌,是,江苏
U00000488,男,23,干性/混干,否,山东
U00000489,女,45,敏感肌,是,江苏
U00000490,女,39,中性,是,山东
U00000491,女,31,油性/混油,是,浙江
U00000492,女,43,中性,是,河南
U00000493,女,32,油性/混油,是,湖北
U00000494,男,25,敏感肌,是,江苏
U00000495,男,44,油性/混油,否,浙江
U00000496,女,36,中性,是,山东
U00000497,女,23,干性/混干,否,浙江
U00000498,女,30,油性/混油,否,北京
U00000499,女,24,敏感肌,否,江苏
U00000500,女,20,干性/混干,否,浙江
U00000501,女,39,油性/混油,否,浙江
U00000502,女,47,敏感肌,否,湖北
U00000503,女,20,干性/混干,是,湖南
U00000504,男,36,敏感肌,否,江苏
U00000505,女,26,干性/混干,是,四川
U00000506,女,28,干性/混干,否,山东
U00000507,男,27,中性,否,湖南
U00000508,女,25,油性/混油,是,浙江
U00000509,女,32,敏感肌,否,广东
U00000510,男,25,油性/混油,是,山东
U00000511,女,34,油性/混油,否,四川
U00000512,男,31,干性/混干,否,河南
U00000513,女,30,油性/混油,否,湖北
U00000514,男,24,敏感肌,是,北京
U00000515,女,27,油性/混油,否,湖北
U00000516,女,38,干性/混干,否,北京
U00000517,女,36,中性,是,北京
U00000518,女,24,干性/混干,否,河南
U00000519,男,32,干性/混干,否,上海
U00000520,女,38,油性/混油,是,湖北
U00000521,女,18,油性/混油,是,江苏
U00000522,女,36,干性/混干,否,上海
U00000523,女,26,敏感肌,是,湖南
U00000524,女,36,油性/混油,是,四川
U00000525,女,25,干性/混干,否,湖北
U00000526,女,18,油性/混油,否,广东
U00000527,男,18,敏感肌,否,四川
U00000528,女,32,油性/混油,否,山东
U00000529,女,34,干性/混干,是,上海
U00000530,女,24,干性/混干,否,北京
U00000531,女,37,油性/混油,是,北京
U00000532,女,18,油性/混油,否,四川
U00000533,女,31,敏感肌,否,广东
U00000534,女,22,油性/混油,是,北京
U00000535,男,26,干性/混干,否,江苏
U00000536,女,32,敏感肌,是,浙江
U00000537,女,25,敏感肌,否,河南
U00000538,男,28,干性/混干,是,北京
U00000539,女,40,油性/混油,是,北京
U00000540,女,27,中性,否,河南
U00000541,女,38,油性/混油,是,浙江
U00000542,男,22,干性/混干,否,广东
U00000543,女,36,敏感肌,否,上海
U00000544,女,43,干性/混干,否,湖南
U00000545,女,18,敏感肌,否,江苏
U00000546,女,25,油性/混油,是,河南
U00000547,女,36,干性/混干,否,四川
U00000548,女,30,敏感肌,否,北京
U00000549,男,34,干性/混干,是,河南
U00000550,女,27,敏感肌,否,江苏
U00000551,男,32,油性/混油,是,湖南
U00000552,女,30,敏感肌,是,江苏
U00000553,女,41,油性/混油,否,上海
U00000554,男,34,油性/混油,否,广东
U00000555,男,34,敏感肌,否,江苏
U00000556,女,28,干性/混干,是,江苏
U00000557,女,28,油性/混油,是,北京
U00000558,女,28,油性/混油,是,江苏
U00000559,女,35,干性/混干,是,江苏
U00000560,女,28,油性/混油,是,湖北
U00000561,男,34,中性,否,广东
U00000562,女,48,干性/混干,是,北京
U00000563,女,38,干性/混干,是,北京
U00000564,女,29,油性/混油,是,上海
U00000565,女,41,油性/混油,是,浙江
U00000566,男,28,中性,否,四川
U00000567,女,18,敏感肌,是,河南
U00000568,男,23,干性/混干,是,湖南
U00000569,女,18,敏感肌,是,湖南
U00000570,女,29,干性/混干,否,上海
U00000571,女,32,敏感肌,是,江苏
U00000572,女,45,中性,是,北京
U00000573,女,34,敏感肌,是,北京
U00000574,男,30,干性/混干,否,山东
U00000575,男,38,干性/混干,否,北京
U00000576,女,18,敏感肌,是,山东
U00000577,男,33,敏感肌,是,北京
U00000578,女,38,敏感肌,是,山东
U00000579,女,20,干性/混干,否,湖北
U00000580,女,41,油性/混油,否,四川
U00000581,女,34,中性,是,广东
U00000582,男,28,干性/混干,否,四川
U00000583,男,37,油性/混油,否,浙江
U00000584,女,50,中性,否,上海
U00000585,女,33,敏感肌,是,上海
U00000586,女,33,油性/混油,是,广东
U00000587,女,28,油性/混油,否,湖北
U00000588,女,25,干性/混干,是,浙江
U00000589,女,38,干性/混干,是,山东
U00000590,女,25,敏感肌,是,广东
U00000591,男,32,敏感肌,否,广东
U00000592,男,28,油性/混油,是,广东
U00000593,女,35,油性/混油,否,江苏
U00000594,女,34,干性/混干,否,广东
U00000595,女,40,中性,是,江苏
U00000596,男,27,敏感肌,是,四川
U00000597,女,29,敏感肌,是,浙江
U00000598,女,24,油性/混油,否,河南
U00000599,女,28,中性,否,上海
U00000600,女,35,敏感肌,是,上海
U00000601,男,38,干性/混干,否,上海
U00000602,女,24,油性/混油,是,浙江
U00000603,女,38,中性,否,江苏
U00000604,女,42,油性/混油,是,上海
U00000605,女,35,敏感肌,否,北京
U00000606,女,47,干性/混干,是,北京
U00000607,女,25,油性/混油,是,广东
U00000608,男,22,中性,否,北京
U00000609,女,18,敏感肌,是,北京
U00000610,女,43,敏感肌,是,浙江
U00000611,女,37,油性/混油,是,北京
U00000612,男,31,中性,否,广东
U00000613,女,34,敏感肌,否,江苏
U00000614,男,22,敏感肌,是,北京
U00000615,男,51,敏感肌,是,四川
U00000616,女,33,干性/混干,否,江苏
U00000617,男,32,敏感肌,否,四川
U00000618,女,37,中性,否,江苏
U00000619,男,35,油性/混油,否,广东
U00000620,女,33,油性/混油,是,江苏
U00000621,女,25,干性/混干,是,山东
U00000622,女,35,敏感肌,是,湖南
U00000623,女,47,敏感肌,是,四川
U00000624,男,42,敏感肌,否,广东
U00000625,男,44,敏感肌,是,河南
U00000626,男,27,干性/混干,否,上海
U00000627,女,24,干性/混干,是,上海
U00000628,男,30,中性,是,浙江
U00000629,男,32,敏感肌,否,江苏
U00000630,女,40,敏感肌,否,山东
U00000631,女,18,干性/混干,否,广东
U00000632,女,44,干性/混干,是,浙江
U00000633,女,30,干性/混干,否,上海
U00000634,女,28,干性/混干,是,山东
U00000635,女,23,敏感肌,是,北京
U00000636,女,18,干性/混干,否,广东
U00000637,男,38,敏感肌,是,广东
U00000638,女,32,敏感肌,是,浙江
U00000639,女,21,干性/混干,是,湖北
U00000640,女,21,干性/混干,是,山东
U00000641,女,29,敏感肌,否,广东
U00000642,女,45,油性/混油,是,山东
U00000643,女,29,敏感肌,否,湖南
U00000644,女,19,油性/混油,是,江苏
U00000645,男,30,干性/混干,是,河南
U00000646,女,29,敏感肌,否,广东
U00000647,男,18,中性,是,广东
U00000648,女,31,敏感肌,是,上海
U00000649,女,30,敏感肌,是,河南
U00000650,女,37,敏感肌,是,上海
U00000651,女,46,干性/混干,否,广东
U00000652,女,41,中性,是,上海
U00000653,女,29,敏感肌,否,河南
U00000654,女,23,中性,是,北京
U00000655,男,52,油性/混油,否,湖北
U00000656,男,32,油性/混油,否,北京
U00000657,女,32,敏感肌,是,湖南
U00000658,男,31,敏感肌,是,上海
U00000659,女,33,敏感肌,否,湖南
U00000660,男,30,油性/混油,是,浙江
U00000661,女,27,敏感肌,是,北京
U00000662,女,27,干性/混干,是,山东
U00000663,女,31,中性,是,浙江
U00000664,女,27,油性/混油,是,四川
U00000665,女,26,中性,是,河南
U00000666,女,32,敏感肌,是,山东
U00000667,男,29,油性/混油,是,江苏
U00000668,女,44,干性/混干,否,山东
U00000669,男,18,敏感肌,是,山东
U00000670,女,40,中性,否,四川
U00000671,男,41,油性/混油,是,四川
U00000672,女,18,敏感肌,否,广东
U00000673,男,29,油性/混油,否,山东
U00000674,女,29,干性/混干,是,江苏
U00000675,女,20,干性/混干,否,浙江
U00000676,女,25,敏感肌,是,浙江
U00000677,女,23,敏感肌,是,浙江
U00000678,女,46,油性/混油,是,湖北
U00000679,男,39,敏感肌,否,山东
U00000680,女,42,干性/混干,是,山东
U00000681,女,37,干性/混干,是,北京
U00000682,男,22,敏感肌,是,湖南
U00000683,男,27,干性/混干,是,浙江
U00000684,男,35,中性,否,广东
U00000685,女,22,干性/混干,否,上海
U00000686,女,37,干性/混干,是,四川
U00000687,女,30,敏感肌,否,浙江
U00000688,女,29,油性/混油,是,江苏
U00000689,男,37,敏感肌,否,广东
U00000690,女,35,敏感肌,否,广东
U00000691,女,29,干性/混干,是,广东
U00000692,男,41,油性/混油,否,湖北
U00000693,男,23,敏感肌,否,江苏
U00000694,男,36,油性/混油,是,广东
U00000695,男,36,中性,是,江苏
U00000696,男,29,油性/混油,是,江苏
U00000697,男,34,敏感肌,否,江苏
U00000698,女,21,油性/混油,是,四川
U00000699,女,39,油性/混油,是,北京
