用户ID,性别,年龄,肤质,会员,RFM分类,聚类
U00000158,男,59,,是,低价值/流失用户,
U00000159,男,32,,否,高价值沉睡用户,
U00000160,女,47,,否,潜力发展用户,
U00000161,男,40,,否,低价值/流失用户,
U00000162,女,18,,否,核心价值用户,
U00000163,女,35,,是,核心价值用户,
U00000164,女,20,,否,高价值沉睡用户,
U00000165,女,59,,否,低价值/流失用户,
U00000166,男,53,,否,高价值沉睡用户,
U00000167,女,57,,是,低价值/流失用户,
U00000168,女,57,,否,核心价值用户,
U00000169,女,54,,是,核心价值用户,
U00000170,女,32,,是,高价值沉睡用户,
U00000171,女,51,,否,高价值沉睡用户,
U00000172,男,30,,否,潜力发展用户,
U00000173,男,60,,否,高价值沉睡用户,
U00000174,男,47,,是,核心价值用户,
U00000175,女,21,,是,潜力发展用户,
U00000176,女,48,,是,潜力发展用户,
U00000177,男,39,,否,潜力发展用户,
U00000178,女,42,,否,潜力发展用户,
U00000179,女,24,,是,高价值沉睡用户,
U00000180,女,63,,是,高价值沉睡用户,
U00000181,女,33,,否,低价值/流失用户,
U00000182,女,50,,是,高价值沉睡用户,
U00000183,女,20,,否,潜力发展用户,
U00000184,女,34,,是,高价值沉睡用户,
U00000185,男,21,,是,高价值沉睡用户,
U00000186,男,49,,是,高价值沉睡用户,
U00000187,男,53,,否,核心价值用户,
U00000188,女,25,,否,核心价值用户,
U00000189,男,27,,否,核心价值用户,
U00000190,女,48,,是,高价值沉睡用户,
U00000191,女,64,,是,潜力发展用户,
U00000192,女,48,,是,高价值沉睡用户,
U00000193,女,27,,否,核心价值用户,
U00000194,女,58,,否,潜力发展用户,
U00000195,女,31,,否,低价值/流失用户,
U00000196,男,63,,否,核心价值用户,
U00000197,女,47,,是,核心价值用户,
U00000198,女,33,,是,高价值沉睡用户,
U00000199,女,52,,是,潜力发展用户,
U00000200,男,26,,否,潜力发展用户,
U00000201,男,43,,否,核心价值用户,
U00000202,女,29,,是,核心价值用户,
U00000203,男,62,,是,高价值沉睡用户,
U00000204,女,62,,否,高价值沉睡用户,
U00000205,女,42,,否,潜力发展用户,
U00000206,男,37,,是,潜力发展用户,
U00000207,男,34,,否,潜力发展用户,
U00000208,女,61,,是,潜力发展用户,
U00000209,男,50,,否,高价值沉睡用户,
U00000210,女,34,,是,核心价值用户,
U00000211,女,43,,否,低价值/流失用户,
U00000212,男,46,,否,潜力发展用户,
U00000213,女,42,,是,高价值沉睡用户,
U00000214,女,36,,否,高价值沉睡用户,
U00000215,女,45,,是,潜力发展用户,
U00000216,男,58,,否,核心价值用户,
U00000217,女,28,,是,核心价值用户,
U00000218,女,48,,否,核心价值用户,
U00000219,女,49,,是,高价值沉睡用户,
U00000220,女,23,,否,核心价值用户,
U00000221,女,25,,否,核心价值用户,
U00000222,女,46,,否,潜力发展用户,
U00000223,女,44,,否,高价值沉睡用户,
U00000224,女,23,,否,核心价值用户,
U00000225,男,33,,是,核心价值用户,
U00000226,男,63,,是,潜力发展用户,
U00000227,男,32,,否,低价值/流失用户,
U00000228,男,51,,否,潜力发展用户,
U00000229,女,52,,否,潜力发展用户,
U00000230,男,25,,否,潜力发展用户,
U00000231,女,49,,否,核心价值用户,
U00000232,女,47,,是,核心价值用户,
U00000233,女,25,,否,高价值沉睡用户,
U00000234,女,18,,是,核心价值用户,
U00000235,女,38,,是,核心价值用户,
U00000236,女,56,,否,潜力发展用户,
U00000237,女,22,,是,潜力发展用户,
U00000238,女,59,,否,潜力发展用户,
U00000239,男,27,,是,潜力发展用户,
U00000240,男,40,,是,潜力发展用户,
U00000241,女,43,,否,核心价值用户,
U00000242,男,49,,否,核心价值用户,
U00000243,女,29,,否,高价值沉睡用户,
U00000244,男,30,,否,核心价值用户,
U00000245,女,51,,是,低价值/流失用户,
U00000246,女,45,,否,潜力发展用户,
U00000247,女,19,,否,低价值/流失用户,
U00000248,女,26,,是,核心价值用户,
U00000249,女,30,,是,高价值沉睡用户,
U00000250,女,63,,是,高价值沉睡用户,
U00000251,女,21,,否,核心价值用户,
U00000252,男,36,,否,潜力发展用户,
U00000253,女,18,,是,潜力发展用户,
U00000254,男,32,,是,高价值沉睡用户,
U00000255,男,46,,否,高价值沉睡用户,
U00000256,女,43,,是,潜力发展用户,
U00000257,女,22,,否,高价值沉睡用户,
U00000258,女,29,,否,核心价值用户,
U00000259,女,65,,是,潜力发展用户,
U00000260,女,50,,否,高价值沉睡用户,
U00000261,女,32,,否,潜力发展用户,
U00000262,女,51,,否,核心价值用户,
U00000263,女,60,,是,低价值/流失用户,
U00000264,女,55,,否,高价值沉睡用户,
U00000265,女,52,,否,低价值/流失用户,
U00000266,男,34,,否,低价值/流失用户,
U00000267,女,41,,否,低价值/流失用户,
U00000268,女,60,,否,潜力发展用户,
U00000269,女,53,,是,潜力发展用户,
U00000270,男,35,,是,高价值沉睡用户,
U00000271,男,41,,否,高价值沉睡用户,
U00000272,女,38,,是,高价值沉睡用户,
U00000273,女,48,,是,潜力发展用户,
U00000274,男,51,,是,潜力发展用户,
U00000275,男,21,,是,核心价值用户,
U00000276,女,39,,是,低价值/流失用户,
U00000277,女,38,,是,高价值沉睡用户,
U00000278,男,57,,否,高价值沉睡用户,
U00000279,女,44,,否,核心价值用户,
U00000280,女,42,,是,核心价值用户,
U00000281,女,65,,是,核心价值用户,
U00000282,女,36,,是,高价值沉睡用户,
U00000283,女,22,,是,潜力发展用户,
U00000284,女,45,,否,潜力发展用户,
U00000285,女,60,,是,核心价值用户,
U00000286,女,46,,否,潜力发展用户,
U00000287,男,28,,是,潜力发展用户,
U00000288,女,57,,是,核心价值用户,
U00000289,男,30,,否,潜力发展用户,
U00000290,女,37,,是,潜力发展用户,
U00000291,女,43,,是,高价值沉睡用户,
U00000292,男,64,,是,潜力发展用户,
U00000293,女,28,,否,高价值沉睡用户,
U00000294,女,51,,否,低价值/流失用户,
U00000295,女,38,,否,核心价值用户,
U00000296,女,27,,是,潜力发展用户,
U00000297,女,62,,是,核心价值用户,
U00000298,男,62,,否,核心价值用户,
U00000299,女,26,,否,潜力发展用户,
U00000300,女,51,,否,高价值沉睡用户,
U00000301,女,52,,否,核心价值用户,
U00000302,男,39,,否,低价值/流失用户,
U00000303,女,39,,否,核心价值用户,
U00000304,女,19,,否,核心价值用户,
U00000305,女,27,,是,潜力发展用户,
U00000306,女,18,,是,高价值沉睡用户,
U00000307,女,27,,否,潜力发展用户,
U00000308,女,51,,否,潜力发展用户,
U00000309,女,25,,否,高价值沉睡用户,
U00000310,女,22,,否,高价值沉睡用户,
U00000311,女,61,,否,潜力发展用户,
U00000312,女,56,,否,高价值沉睡用户,
U00000313,女,54,,否,潜力发展用户,
U00000314,女,18,,否,核心价值用户,
U00000315,女,33,,是,核心价值用户,
U00000316,男,44,,是,低价值/流失用户,
U00000317,男,60,,否,高价值沉睡用户,
U00000318,女,57,,是,核心价值用户,
U00000319,男,59,,是,高价值沉睡用户,
U00000320,男,62,,是,高价值沉睡用户,
U00000321,男,32,,否,潜力发展用户,
U00000322,女,53,,是,潜力发展用户,
U00000323,女,26,,否,高价值沉睡用户,
U00000324,女,26,,否,高价值沉睡用户,
U00000325,女,50,,是,核心价值用户,
U00000326,男,29,,否,潜力发展用户,
U00000327,男,40,,是,潜力发展用户,
U00000328,女,27,,否,潜力发展用户,
U00000329,女,41,,否,核心价值用户,
U00000330,女,35,,否,低价值/流失用户,
U00000331,男,62,,否,高价值沉睡用户,
U00000332,女,26,,否,高价值沉睡用户,
U00000333,女,49,,否,高价值沉睡用户,
U00000334,女,22,,否,高价值沉睡用户,
U00000335,女,57,,否,核心价值用户,
U00000336,男,54,,是,潜力发展用户,
U00000337,女,47,,否,高价值沉睡用户,
U00000338,女,55,,是,潜力发展用户,
U00000339,女,53,,否,潜力发展用户,
U00000340,女,30,,是,高价值沉睡用户,
U00000341,女,53,,否,潜力发展用户,
U00000342,男,35,,否,潜力发展用户,
U00000343,女,57,,否,高价值沉睡用户,
U00000344,男,20,,否,潜力发展用户,
U00000345,女,43,,否,低价值/流失用户,
U00000346,女,53,,是,核心价值用户,
U00000347,女,51,,否,高价值沉睡用户,
U00000348,男,54,,是,核心价值用户,
U00000349,女,53,,是,低价值/流失用户,
U00000350,男,38,,是,高价值沉睡用户,
U00000351,男,53,,否,高价值沉睡用户,
U00000352,男,42,,否,核心价值用户,
U00000353,女,22,,否,高价值沉睡用户,
U00000354,女,29,,否,低价值/流失用户,
U00000355,女,34,,否,高价值沉睡用户,
U00000356,男,41,,是,核心价值用户,
U00000357,男,39,,是,潜力发展用户,
U00000358,女,42,,否,核心价值用户,
U00000359,女,23,,否,高价值沉睡用户,
U00000360,女,39,,是,核心价值用户,
U00000361,男,22,,否,潜力发展用户,
U00000362,男,28,,否,核心价值用户,
U00000363,男,41,,是,潜力发展用户,
U00000364,女,33,,否,潜力发展用户,
U00000365,男,18,,否,高价值沉睡用户,
U00000366,女,32,,是,潜力发展用户,
U00000367,女,26,,是,潜力发展用户,
U00000368,女,35,,否,潜力发展用户,
U00000369,女,19,,否,核心价值用户,
U00000370,女,60,,是,低价值/流失用户,
U00000371,女,44,,否,高价值沉睡用户,
U00000372,女,23,,是,核心价值用户,
U00000373,女,22,,是,潜力发展用户,
U00000374,女,32,,是,潜力发展用户,
U00000375,女,39,,否,潜力发展用户,
U00000376,女,27,,是,潜力发展用户,
U00000377,男,61,,否,核心价值用户,
U00000378,女,21,,否,潜力发展用户,
U00000379,女,25,,是,核心价值用户,
U00000380,女,24,,否,核心价值用户,
U00000381,女,39,,否,潜力发展用户,
U00000382,男,20,,是,低价值/流失用户,
U00000383,女,56,,否,潜力发展用户,
U00000384,女,43,,否,核心价值用户,
U00000385,女,51,,是,低价值/流失用户,
U00000386,女,29,,否,高价值沉睡用户,
U00000387,男,24,,否,潜力发展用户,
U00000388,男,35,,否,潜力发展用户,
U00000389,女,44,,是,高价值沉睡用户,
U00000390,女,31,,否,潜力发展用户,
U00000391,女,18,,否,核心价值用户,
U00000392,男,45,,否,潜力发展用户,
U00000393,女,42,,是,高价值沉睡用户,
U00000394,女,20,,否,核心价值用户,
U00000395,男,27,,是,高价值沉睡用户,
U00000396,男,29,,否,潜力发展用户,
U00000397,男,45,,是,核心价值用户,
U00000398,女,28,,否,低价值/流失用户,
U00000399,女,40,,是,低价值/流失用户,
U00000400,女,36,,是,低价值/流失用户,
U00000401,女,37,,否,高价值沉睡用户,
U00000402,女,64,,否,潜力发展用户,
U00000403,女,40,,否,核心价值用户,
U00000404,女,33,,否,潜力发展用户,
U00000405,女,34,,否,高价值沉睡用户,
U00000406,男,50,,否,核心价值用户,
U00000407,女,65,,是,低价值/流失用户,
U00000408,男,26,,否,核心价值用户,
U00000409,女,49,,否,高价值沉睡用户,
U00000410,女,36,,是,潜力发展用户,
U00000411,女,42,,否,潜力发展用户,
U00000412,男,65,,是,低价值/流失用户,
U00000413,女,18,,是,高价值沉睡用户,
U00000414,男,23,,是,潜力发展用户,
U00000415,女,47,,否,低价值/流失用户,
U00000416,男,42,,是,潜力发展用户,
U00000417,女,45,,是,潜力发展用户,
U00000418,女,38,,否,潜力发展用户,
U00000419,女,58,,否,潜力发展用户,
U00000420,女,52,,是,核心价值用户,
U00000421,男,58,,否,高价值沉睡用户,
U00000422,男,32,,否,潜力发展用户,
U00000423,女,65,,是,核心价值用户,
U00000424,女,56,,否,潜力发展用户,
U00000425,女,59,,是,潜力发展用户,
U00000426,女,47,,是,潜力发展用户,
U00000427,女,32,,否,潜力发展用户,
U00000428,女,64,,否,潜力发展用户,
U00000429,女,59,,否,高价值沉睡用户,
U00000430,男,63,,否,核心价值用户,
U00000431,女,22,,是,潜力发展用户,
U00000432,女,64,,是,高价值沉睡用户,
U00000433,女,32,,否,潜力发展用户,
U00000434,男,61,,是,核心价值用户,
U00000435,男,53,,是,潜力发展用户,
U00000436,女,21,,是,高价值沉睡用户,
U00000437,女,33,,否,核心价值用户,
U00000438,女,40,,是,核心价值用户,
U00000439,男,61,,否,核心价值用户,
U00000440,女,44,,是,高价值沉睡用户,
U00000441,女,53,,否,高价值沉睡用户,
U00000442,女,57,,否,低价值/流失用户,
U00000443,男,58,,是,核心价值用户,
U00000444,男,19,,是,高价值沉睡用户,
U00000445,女,28,,是,高价值沉睡用户,
U00000446,男,23,,是,高价值沉睡用户,
U00000447,女,47,,否,潜力发展用户,
U00000448,女,49,,否,潜力发展用户,
U00000449,女,51,,否,核心价值用户,
U00000450,女,26,,否,高价值沉睡用户,
U00000451,女,44,,否,核心价值用户,
U00000452,男,29,,是,高价值沉睡用户,
U00000453,女,33,,是,潜力发展用户,
U00000454,男,20,,是,核心价值用户,
U00000455,女,21,,否,高价值沉睡用户,
U00000456,女,41,,否,高价值沉睡用户,
U00000457,男,62,,是,潜力发展用户,
U00000458,女,56,,是,核心价值用户,
U00000459,男,37,,是,潜力发展用户,
U00000460,男,57,,是,低价值/流失用户,
U00000461,男,36,,是,高价值沉睡用户,
U00000462,女,57,,否,核心价值用户,
U00000463,女,19,,是,高价值沉睡用户,
U00000464,女,62,,否,高价值沉睡用户,
U00000465,男,18,,否,核心价值用户,
U00000466,男,49,,否,低价值/流失用户,
U00000467,男,29,,否,潜力发展用户,
U00000468,男,37,,是,核心价值用户,
U00000469,女,52,,是,核心价值用户,
U00000470,女,48,,否,核心价值用户,
U00000471,女,55,,是,潜力发展用户,
U00000472,女,42,,是,高价值沉睡用户,
U00000473,男,61,,否,高价值沉睡用户,
U00000474,女,22,,否,高价值沉睡用户,
U00000475,女,19,,否,潜力发展用户,
U00000476,女,45,,是,核心价值用户,
U00000477,男,51,,否,潜力发展用户,
U00000478,女,50,,否,高价值沉睡用户,
U00000479,女,48,,是,潜力发展用户,
U00000480,男,18,,否,潜力发展用户,
U00000481,女,60,,是,核心价值用户,
U00000482,女,35,,否,潜力发展用户,
U00000483,男,62,,否,高价值沉睡用户,
U00000484,女,41,,否,潜力发展用户,
U00000485,女,50,,否,潜力发展用户,
U00000486,女,34,,是,高价值沉睡用户,
U00000487,女,64,,是,核心价值用户,
U00000488,男,41,,否,核心价值用户,
U00000489,男,45,,是,核心价值用户,
U00000490,女,27,,否,高价值沉睡用户,
U00000491,女,64,,否,高价值沉睡用户,
U00000492,女,61,,否,核心价值用户,
U00000493,女,31,,否,核心价值用户,
U00000494,女,41,,否,核心价值用户,
U00000495,女,20,,否,核心价值用户,
U00000496,男,47,,是,高价值沉睡用户,
U00000497,女,30,,否,核心价值用户,
U00000498,男,50,,否,潜力发展用户,
U00000499,女,54,,否,低价值/流失用户,
U00000500,男,54,,是,潜力发展用户,
U00000501,男,36,,否,高价值沉睡用户,
U00000502,男,51,,否,潜力发展用户,
U00000503,女,58,,否,核心价值用户,
U00000504,女,26,,否,核心价值用户,
U00000505,男,32,,否,潜力发展用户,
U00000506,男,63,,否,潜力发展用户,
U00000507,男,34,,否,核心价值用户,
U00000508,男,63,,是,核心价值用户,
U00000509,男,25,,否,潜力发展用户,
U00000510,女,23,,是,低价值/流失用户,
U00000511,男,42,,是,低价值/流失用户,
U00000512,女,27,,是,潜力发展用户,
U00000513,女,18,,否,低价值/流失用户,
U00000514,男,51,,是,核心价值用户,
U00000515,男,23,,否,高价值沉睡用户,
U00000516,男,57,,是,潜力发展用户,
U00000517,女,57,,是,核心价值用户,
U00000518,女,33,,否,核心价值用户,
U00000519,女,49,,否,核心价值用户,
U00000520,男,62,,否,高价值沉睡用户,
U00000521,男,47,,否,潜力发展用户,
U00000522,女,42,,否,低价值/流失用户,
U00000523,男,57,,是,核心价值用户,
U00000524,男,39,,是,潜力发展用户,
U00000525,女,38,,否,高价值沉睡用户,
U00000526,男,62,,否,高价值沉睡用户,
U00000527,女,53,,是,潜力发展用户,
U00000528,女,56,,是,潜力发展用户,
U00000529,女,23,,否,潜力发展用户,
U00000530,女,31,,否,潜力发展用户,
U00000531,女,19,,是,潜力发展用户,
U00000532,男,36,,否,潜力发展用户,
U00000533,男,26,,否,核心价值用户,
U00000534,女,60,,是,潜力发展用户,
U00000535,男,50,,否,核心价值用户,
U00000536,男,46,,是,潜力发展用户,
U00000537,女,46,,否,潜力发展用户,
U00000538,女,23,,否,核心价值用户,
U00000539,女,52,,是,核心价值用户,
U00000540,女,53,,否,潜力发展用户,
U00000541,女,42,,是,核心价值用户,
U00000542,女,33,,否,高价值沉睡用户,
U00000543,女,25,,是,潜力发展用户,
U00000544,男,48,,是,高价值沉睡用户,
U00000545,女,19,,否,高价值沉睡用户,
U00000546,女,48,,是,高价值沉睡用户,
U00000547,女,47,,是,核心价值用户,
U00000548,女,28,,是,高价值沉睡用户,
U00000549,女,61,,否,核心价值用户,
U00000550,女,35,,是,潜力发展用户,
U00000551,男,18,,是,潜力发展用户,
U00000552,男,23,,否,潜力发展用户,
U00000553,男,63,,否,核心价值用户,
U00000554,男,50,,否,潜力发展用户,
U00000555,男,45,,否,低价值/流失用户,
U00000556,女,48,,否,潜力发展用户,
U00000557,女,54,,是,潜力发展用户,
U00000558,女,37,,否,低价值/流失用户,
U00000559,女,49,,否,核心价值用户,
U00000560,女,24,,否,核心价值用户,
U00000561,女,18,,否,高价值沉睡用户,
U00000562,女,32,,否,高价值沉睡用户,
U00000563,女,46,,是,核心价值用户,
U00000564,男,44,,否,潜力发展用户,
U00000565,女,18,,是,核心价值用户,
U00000566,女,29,,是,潜力发展用户,
U00000567,男,33,,是,潜力发展用户,
U00000568,女,30,,是,高价值沉睡用户,
U00000569,女,53,,是,潜力发展用户,
U00000570,男,34,,是,潜力发展用户,
U00000571,男,55,,否,核心价值用户,
U00000572,女,30,,否,潜力发展用户,
U00000573,女,58,,否,核心价值用户,
U00000574,女,62,,是,核心价值用户,
U00000575,男,24,,否,潜力发展用户,
U00000576,女,27,,否,潜力发展用户,
U00000577,男,34,,是,潜力发展用户,
U00000578,男,33,,否,高价值沉睡用户,
U00000579,女,31,,否,高价值沉睡用户,
U00000580,女,39,,是,核心价值用户,
U00000581,女,58,,否,高价值沉睡用户,
U00000582,女,60,,是,低价值/流失用户,
U00000583,女,65,,否,核心价值用户,
U00000584,女,32,,否,潜力发展用户,
U00000585,女,56,,否,高价值沉睡用户,
U00000586,女,30,,是,高价值沉睡用户,
U00000587,女,44,,是,潜力发展用户,
U00000588,男,64,,否,潜力发展用户,
U00000589,女,34,,否,核心价值用户,
U00000590,男,54,,否,潜力发展用户,
U00000591,男,55,,是,潜力发展用户,
U00000592,男,51,,是,潜力发展用户,
U00000593,女,19,,否,核心价值用户,
U00000594,女,21,,否,核心价值用户,
U00000595,女,36,,是,潜力发展用户,
U00000596,女,65,,否,核心价值用户,
U00000597,女,64,,否,潜力发展用户,
U00000598,女,21,,是,潜力发展用户,
U00000599,女,59,,否,潜力发展用户,
U00000600,女,53,,否,高价值沉睡用户,
U00000601,男,50,,是,高价值沉睡用户,
U00000602,女,20,,否,核心价值用户,
U00000603,女,55,,是,高价值沉睡用户,
U00000604,男,22,,是,高价值沉睡用户,
U00000605,女,49,,否,潜力发展用户,
U00000606,女,26,,是,高价值沉睡用户,
U00000607,男,44,,否,高价值沉睡用户,
U00000608,男,42,,是,低价值/流失用户,
U00000609,女,58,,否,潜力发展用户,
U00000610,女,53,,是,低价值/流失用户,
U00000611,男,34,,否,高价值沉睡用户,
U00000612,女,60,,否,核心价值用户,
U00000613,女,51,,否,核心价值用户,
U00000614,男,26,,否,高价值沉睡用户,
U00000615,女,63,,是,潜力发展用户,
U00000616,女,22,,是,高价值沉睡用户,
U00000617,女,25,,是,潜力发展用户,
U00000618,女,32,,是,潜力发展用户,
U00000619,女,41,,是,潜力发展用户,
U00000620,男,30,,是,低价值/流失用户,
U00000621,女,42,,是,低价值/流失用户,
U00000622,男,56,,否,潜力发展用户,
U00000623,女,58,,是,核心价值用户,
U00000624,女,26,,否,低价值/流失用户,
U00000625,女,59,,是,高价值沉睡用户,
U00000626,女,18,,是,潜力发展用户,
U00000627,女,53,,是,潜力发展用户,
U00000628,女,30,,否,高价值沉睡用户,
U00000629,女,65,,是,潜力发展用户,
U00000630,女,18,,否,高价值沉睡用户,
U00000631,男,56,,否,潜力发展用户,
U00000632,男,45,,是,高价值沉睡用户,
U00000633,男,22,,是,潜力发展用户,
U00000634,女,33,,是,低价值/流失用户,
U00000635,男,54,,是,潜力发展用户,
U00000636,女,51,,是,潜力发展用户,
U00000637,女,30,,否,高价值沉睡用户,
U00000638,女,53,,否,核心价值用户,
U00000639,女,63,,否,潜力发展用户,
U00000640,男,40,,是,核心价值用户,
U00000641,女,31,,是,潜力发展用户,
U00000642,女,54,,否,核心价值用户,
U00000643,女,64,,是,高价值沉睡用户,
U00000644,女,37,,是,高价值沉睡用户,
U00000645,女,60,,是,高价值沉睡用户,
U00000646,男,45,,是,潜力发展用户,
U00000647,女,37,,是,低价值/流失用户,
U00000648,男,54,,否,核心价值用户,
U00000649,女,39,,否,潜力发展用户,
U00000650,女,42,,否,高价值沉睡用户,
U00000651,女,44,,否,核心价值用户,
U00000652,男,52,,否,潜力发展用户,
U00000653,女,51,,否,潜力发展用户,
