常用省份,商品名称,购买数量,占比,预测销量_未来7天,建议补货量
广东,双抗小夜灯眼霜,716,0.11711711711711711,74.0,8.666666666666666
广东,双抗水乳套装,1322,0.10370370370370374,819.9,85.0266666666667
广东,双抗精华3.0,834,0.07826086956521738,523.6,40.977391304347826
广东,双抗精华水,413,0.1,209.2,20.92
广东,水动力氨基酸洁面乳,370,0.1,157.1,15.71
广东,源力面霜2.0,667,0.08860759493670886,272.3,24.127848101265823
广东,神经酰胺涂抹面膜,835,0.08955223880597016,1.7,0.15223880597014927
广东,红宝石冰陀螺眼霜,691,0.09302325581395349,322.2,29.972093023255812
广东,红宝石抗皱面霜3.0,649,0.05747126436781609,167.5,9.626436781609195
广东,红宝石活肤乳2.0,855,0.08219178082191779,177.7,14.60547945205479
广东,红宝石精华3.0,926,0.049999999999999996,486.2,24.31
广东,至简密护安瓶精华液,789,0.06,3.7,0.222
广东,赋能鲜颜淡纹紧致活肤水,388,0.1,4.0,0.4
江苏,云朵防晒霜,630,0.07936507936507936,393.9,31.26190476190476
江苏,净颜洗面奶,303,0.1,6.1,0.61
江苏,双抗小夜灯眼霜,539,0.13513513513513511,74.0,9.999999999999998
江苏,双抗水乳套装,1032,0.06666666666666668,819.9,54.66000000000001
江苏,双抗精华3.0,604,0.14782608695652175,523.6,77.40173913043479
江苏,双抗精华水,314,0.1,209.2,20.92
江苏,水动力氨基酸洁面乳,284,0.1,157.1,15.71
江苏,源力面霜2.0,515,0.13924050632911392,272.3,37.915189873417724
江苏,神经酰胺涂抹面膜,616,0.05970149253731344,1.7,0.10149253731343284
江苏,红宝石冰陀螺眼霜,500,0.10852713178294575,322.2,34.96744186046512
江苏,红宝石抗皱面霜3.0,528,0.1379310344827586,167.5,23.103448275862064
江苏,红宝石活肤乳2.0,624,0.1095890410958904,177.7,19.473972602739725
江苏,红宝石精华3.0,587,0.125,486.2,60.775
江苏,至简密护安瓶精华液,622,0.12,3.7,0.444
江苏,赋能鲜颜淡纹紧致活肤水,302,0.1,4.0,0.4
河南,云朵防晒霜,367,0.07142857142857141,393.9,28.135714285714275
河南,净颜洗面奶,185,0.1,6.1,0.61
河南,双抗小夜灯眼霜,307,0.04504504504504504,74.0,3.333333333333333
河南,双抗水乳套装,541,0.1777777777777778,819.9,145.76000000000002
河南,双抗精华3.0,370,0.05217391304347825,523.6,27.318260869565215
河南,双抗精华水,145,0.1,209.2,20.92
河南,水动力氨基酸洁面乳,173,0.1,157.1,15.71
河南,源力面霜2.0,286,0.05063291139240506,272.3,13.7873417721519
河南,神经酰胺涂抹面膜,335,0.15671641791044777,1.7,0.2664179104477612
河南,红宝石冰陀螺眼霜,299,0.046511627906976744,322.2,14.986046511627906
河南,红宝石抗皱面霜3.0,306,0.03448275862068965,167.5,5.775862068965516
河南,红宝石活肤乳2.0,386,0.0547945205479452,177.7,9.736986301369862
河南,红宝石精华3.0,320,0.024999999999999998,486.2,12.155
河南,至简密护安瓶精华液,340,0.1,3.7,0.37000000000000005
河南,赋能鲜颜淡纹紧致活肤水,186,0.1,4.0,0.4
浙江,云朵防晒霜,676,0.10317460317460315,393.9,40.64047619047618
浙江,净颜洗面奶,323,0.1,6.1,0.61
浙江,双抗小夜灯眼霜,569,0.16216216216216214,74.0,11.999999999999998
浙江,双抗水乳套装,1124,0.0740740740740741,819.9,60.73333333333335
浙江,双抗精华3.0,703,0.18260869565217389,523.6,95.61391304347825
浙江,双抗精华水,363,0.1,209.2,20.92
浙江,水动力氨基酸洁面乳,316,0.1,157.1,15.71
浙江,源力面霜2.0,572,0.16455696202531644,272.3,44.80886075949367
浙江,神经酰胺涂抹面膜,660,0.052238805970149266,1.7,0.08880597014925375
浙江,红宝石冰陀螺眼霜,582,0.13953488372093023,322.2,44.95813953488372
浙江,红宝石抗皱面霜3.0,572,0.10344827586206895,167.5,17.327586206896548
浙江,红宝石活肤乳2.0,670,0.1095890410958904,177.7,19.473972602739725
浙江,红宝石精华3.0,652,0.13749999999999998,486.2,66.85249999999999
浙江,至简密护安瓶精华液,702,0.1,3.7,0.37000000000000005
浙江,赋能鲜颜淡纹紧致活肤水,335,0.1,4.0,0.4
湖北,云朵防晒霜,317,0.09523809523809522,393.9,37.514285714285705
湖北,净颜洗面奶,132,0.1,6.1,0.61
湖北,双抗小夜灯眼霜,211,0.06306306306306306,74.0,4.666666666666666
湖北,双抗水乳套装,514,0.11111111111111113,819.9,91.10000000000001
湖北,双抗精华3.0,269,0.06956521739130433,523.6,36.42434782608695
湖北,双抗精华水,124,0.1,209.2,20.92
湖北,水动力氨基酸洁面乳,143,0.1,157.1,15.71
湖北,源力面霜2.0,210,0.07594936708860758,272.3,20.681012658227846
湖北,神经酰胺涂抹面膜,280,0.12686567164179108,1.7,0.21567164179104484
湖北,红宝石冰陀螺眼霜,227,0.06976744186046512,322.2,22.47906976744186
湖北,红宝石抗皱面霜3.0,224,0.05747126436781609,167.5,9.626436781609195
湖北,红宝石活肤乳2.0,242,0.0547945205479452,177.7,9.736986301369862
湖北,红宝石精华3.0,278,0.0375,486.2,18.232499999999998
湖北,至简密护安瓶精华液,313,0.08,3.7,0.29600000000000004
湖北,赋能鲜颜淡纹紧致活肤水,112,0.1,4.0,0.4
湖南,云朵防晒霜,308,0.07936507936507936,393.9,31.26190476190476
湖南,净颜洗面奶,127,0.1,6.1,0.61
湖南,双抗小夜灯眼霜,220,0.05405405405405405,74.0,3.9999999999999996
湖南,双抗水乳套装,446,0.12592592592592597,819.9,103.2466666666667
湖南,双抗精华3.0,256,0.0608695652173913,523.6,31.871304347826086
湖南,双抗精华水,164,0.1,209.2,20.92
湖南,水动力氨基酸洁面乳,137,0.1,157.1,15.71
湖南,源力面霜2.0,279,0.06329113924050633,272.3,17.234177215189874
湖南,神经酰胺涂抹面膜,282,0.13432835820895522,1.7,0.22835820895522388
湖南,红宝石冰陀螺眼霜,226,0.054263565891472874,322.2,17.48372093023256
湖南,红宝石抗皱面霜3.0,222,0.045977011494252866,167.5,7.701149425287355
湖南,红宝石活肤乳2.0,291,0.041095890410958895,177.7,7.302739726027395
湖南,红宝石精华3.0,248,0.024999999999999998,486.2,12.155
湖南,至简密护安瓶精华液,285,0.06,3.7,0.222
湖南,赋能鲜颜淡纹紧致活肤水,154,0.1,4.0,0.4
